"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"BOK-AS1",0,0,1,9,11,0,0,3,2,1,0,0,0,0,0,4,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,1,3,0,0,1,0,1,1,4,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,1,0,0,0
"C11orf91",3,0,2,0,1,4,8,2,0,7,0,0,2,1,13,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,22,1,1,2,2,0,2,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,7,5,1,0,0,4,1,9,0
"C1QTNF1-AS1",3,39,15,16,0,4,3,5,65,6,33,21,0,16,2,11,28,96,5,77,9,0,122,11,25,1,22,33,29,62,70,25,8,79,8,1,15,2,52,0,6,34,0,58,88,22,21,32,21,3,30,10,63,0,18,21,20,21,6,12,4,7,25,12,8,8,1,7
"C2CD4B",61,9,13,22,144,32,228,87,128,140,9,27,22,57,514,98,80,22,63,28,46,0,20,149,38,124,31,33,51,11,74,20,168,37,29,207,12,62,16,215,18,24,133,5,20,5,13,37,26,21,12,10,29,58,17,8,9,21,71,42,146,32,10,25,17,51,130,15
"C2orf61",11,0,32,2,53,43,0,20,2,2,0,3,2,1,5,0,1,2,0,0,0,0,2,1,0,2,1,1,1,1,2,0,2,0,4,0,1,1,4,2,1,0,1,0,1,0,0,3,1,2,0,0,0,0,0,3,0,3,3,28,1,0,0,5,1,3,4,4
"C3orf65",0,2,1,4,0,0,0,0,8,0,6,4,1,2,1,0,5,0,0,3,7,0,7,0,0,1,0,1,4,2,8,2,0,4,3,0,5,3,3,0,6,0,0,3,9,2,6,8,2,2,9,11,5,0,1,7,9,0,2,0,0,19,2,1,1,1,5,1
"C9orf170",1,1,0,1,7,1,2,5,0,2,1,1,7,0,0,2,0,2,0,0,0,0,1,4,0,3,2,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,4,4,3,0,0,0,0,0,1,0,0,2,0,1,0,1,0,2,1,1,0,0,0,0,1,0
"CALHM3",2,0,2,0,24,1,13,3,0,1,0,0,0,0,29,1,3,0,3,2,3,0,0,4,2,5,1,2,1,1,0,1,0,0,0,4,1,3,3,1,1,3,1,0,2,0,0,0,1,1,1,0,0,2,0,2,0,0,1,3,12,0,0,2,0,2,10,0
"CALN1",35,41,10,38,1,2,1,0,23,1,70,33,1,135,2,62,55,17,3,18,22,0,19,3,56,3,87,44,80,6,12,53,4,154,67,0,25,10,28,0,110,28,1,114,54,47,84,114,27,128,87,77,12,1,57,136,43,87,4,2,3,4,29,82,10,5,4,36
"CAPN14",37,1,2,13,37,35,47,24,4,52,3,7,18,1,30,3,3,5,92,4,20,0,0,21,1,63,2,11,34,5,0,37,12,4,6,56,2,19,0,37,6,9,109,5,15,7,1,3,1,2,3,6,17,53,5,3,6,1,83,286,34,29,2,18,15,30,117,4
"CARD14",72,4,32,30,114,24,161,81,80,59,6,9,16,7,92,21,7,7,20,8,8,0,6,39,3,105,6,17,23,7,17,18,72,10,20,30,12,29,6,55,11,26,78,15,34,10,3,8,10,12,2,6,15,27,5,6,6,9,36,57,74,14,3,13,9,43,35,11
"CARM1P1",0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,10,5,2,0,5,1,2,3,3,7,1,0,9,9,2,0,6,0,2,4,1,4,0,5,0,1,6,0,3,1,4,0,1,0,0,0,1,8,0,0,14,1,0,1,0,0,0,0,0,5,3,0,2
"CASP1P2",55,0,0,0,21,7,113,12,9,78,3,2,32,10,11,11,4,5,29,2,12,0,2,2,0,13,1,12,15,8,6,8,30,6,2,8,5,39,9,8,2,21,14,9,12,5,1,10,0,4,4,0,8,21,8,0,1,0,17,22,40,20,3,6,11,26,55,2
"CATSPERB",149,74,30,279,221,22,360,93,125,308,25,80,7,96,417,125,276,49,264,49,116,0,67,206,41,277,119,118,120,42,128,105,427,96,75,329,98,238,65,201,46,74,278,31,97,97,54,84,18,25,30,33,47,114,32,44,32,51,246,329,344,40,42,87,116,308,673,83
"CCL18",1996,81,849,103,1570,1154,1016,5550,574,1333,919,2894,19587,181,3453,1251,740,277,941,206,1695,1,202,690,56,622,67,1280,433,129,63,1047,1711,128,297,9903,1318,2506,397,10395,785,1129,4414,593,2598,454,657,2202,696,270,384,609,1490,5061,737,187,529,208,4734,5118,700,753,136,1110,1962,2065,10391,610
"CCL2",1015,90,1022,56,3820,1065,4288,9100,395,2436,366,595,3248,81,112,496,460,446,585,560,748,3,573,1227,113,182,88,902,142,490,167,91,156,126,493,502,168,403,455,1143,784,759,4590,249,556,335,206,466,169,271,370,204,322,3722,228,482,226,142,872,3379,2064,175,139,865,963,795,703,488
