"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"RP1-66C13.4",1,0,0,0,3,0,2,0,1,4,0,0,0,0,6,1,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,8,0,0,7,0,3,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,4,3,0,0,0,1,2,0,0
"RP11-100N20.1",0,2,0,2,0,1,0,1,2,0,0,0,0,0,0,0,3,3,0,3,1,0,2,0,3,1,3,5,0,2,1,9,0,2,0,0,0,0,1,2,8,0,0,0,0,2,9,0,0,2,1,3,3,0,0,0,2,1,0,0,0,2,2,1,7,3,0,9
"RP11-1090M7.1",25,77,10,16,0,2,8,2,55,0,81,47,14,52,6,69,30,76,7,55,59,0,120,14,65,5,40,84,114,98,117,231,16,72,59,7,41,19,34,0,44,36,1,68,68,95,36,83,85,107,64,59,66,3,35,75,107,102,9,0,18,0,30,48,31,31,20,36
"RP11-10A14.5",0,0,0,0,38,1,0,20,0,13,1,1,0,0,15,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,6,0,0,14,0,0,2,1,1,1,3,0,0,1,2,0,0,0,0,4,8,1,0,0,0,0,0,0,3
"RP11-111I12.1",67,0,37,10,114,10,14,3,5,15,0,23,5,0,2,5,3,1,3,1,2,0,1,2,0,7,2,2,1,4,44,6,22,6,0,3,3,10,2,34,2,2,12,1,2,1,1,1,3,4,1,1,1,7,7,4,1,0,22,7,19,23,1,1,0,3,4,2
"RP11-114H23.1",0,0,2,1,10,3,0,4,0,0,0,1,0,0,0,2,3,1,1,1,3,0,0,0,0,1,1,0,1,0,4,0,0,0,0,2,0,1,1,2,0,0,4,0,3,0,0,0,0,0,0,0,1,2,0,0,0,7,3,0,2,2,0,0,0,0,3,0
"RP11-115D19.1",2,0,18,4,96,29,2,23,1,8,3,5,4,12,38,5,2,5,4,0,1,0,1,5,0,2,0,5,3,4,4,0,0,3,9,30,2,7,2,31,2,2,47,0,7,12,0,0,0,6,9,6,4,4,0,0,4,1,10,5,6,1,4,8,0,4,1,7
"RP11-151D14.1",2,2,0,0,1,0,0,2,1,1,0,1,3,0,1,3,6,4,1,6,1,0,4,1,1,0,0,5,0,9,7,0,1,3,0,0,2,1,0,0,5,1,0,1,0,1,2,0,1,2,0,0,0,0,2,2,0,0,0,2,1,6,1,2,3,6,0,2
"RP11-153M7.3",2,0,1,0,59,9,7,392,2,4,4,1,109,0,8,2,2,5,5,1,9,0,3,18,0,14,5,7,6,7,1,2,1,1,0,11,1,25,4,4,1,4,81,9,1,5,4,3,0,0,6,3,1,6,1,1,1,5,13,8,11,2,2,10,3,9,23,15
"RP11-157D23.2",1,0,3,0,4,0,2,14,1,2,0,1,6,0,2,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,7,4,0,0,0,0,2,3,1
"RP11-184A2.2",10,21,9,28,46,14,8,12,12,23,3,9,0,12,29,4,13,1,1,4,3,0,3,34,3,6,13,4,5,0,19,3,18,0,6,20,7,5,5,20,6,11,11,6,5,7,4,5,1,4,1,5,3,4,5,1,4,6,14,49,31,0,1,2,4,5,5,0
"RP11-18B16.2",0,0,2,0,17,0,2,142,0,3,0,0,42,0,2,0,1,1,3,0,2,0,1,2,0,0,0,0,0,0,2,0,4,0,1,3,1,1,1,7,0,2,8,0,0,0,1,1,0,2,0,0,1,13,1,2,0,0,3,7,0,0,0,0,1,3,3,0
"RP11-211G23.2",8,0,13,6,22,10,3,7,2,15,2,3,1,0,15,0,3,3,2,4,3,0,2,6,0,2,0,4,0,3,2,0,1,1,0,3,2,0,0,3,0,0,6,0,2,0,1,2,1,0,0,0,1,7,0,1,0,0,1,10,0,0,1,0,1,4,6,0
"RP11-218I7.2",1,4,0,16,0,0,8,0,1,0,43,4,0,20,2,8,9,0,7,0,5,0,2,0,5,4,2,2,5,0,0,5,0,99,14,9,0,0,1,0,44,20,0,5,67,11,27,8,25,3,35,76,20,0,20,65,61,0,7,0,0,0,0,60,10,16,0,12
"RP11-219E7.2",3,0,1,0,0,0,0,1,2,1,2,0,1,0,1,0,0,5,0,6,1,0,2,0,0,2,3,4,0,1,1,0,0,8,0,0,4,0,2,0,3,2,0,3,1,4,0,7,1,1,2,0,2,0,4,4,2,7,0,0,0,0,0,0,0,1,1,1
"RP11-221J22.2",0,0,0,0,4,1,4,4,0,15,0,0,0,0,11,0,0,1,2,1,0,0,1,3,0,11,0,0,1,0,0,0,10,0,0,2,1,2,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,2,0,0,0,0,2,5,0
"RP11-267C16.1",1,0,0,4,11,11,5,6,0,34,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,7,1,0,0,0,0,1,2,1,0,0,0,4,0,1,0,1,3,0,0,0,1,1,0,0,1,0,0,3,0,0,1,0,1,2,0,1,0,0,0,1,1,0
"RP11-275I4.2",5,0,2,0,31,3,2,31,1,17,0,1,22,0,0,1,1,0,2,3,3,0,0,3,0,6,3,0,6,0,1,2,0,4,1,4,0,7,2,7,3,6,15,0,1,0,2,3,0,0,5,1,0,39,1,0,2,0,19,14,22,1,0,9,0,7,10,1
"RP11-298D21.3",1,0,0,1,0,0,0,0,3,3,4,4,0,2,1,0,0,0,0,3,1,0,1,2,0,0,0,2,0,3,0,0,1,1,1,0,0,0,2,0,1,0,0,1,2,1,1,1,2,5,2,4,0,1,0,1,1,0,0,2,0,1,0,0,1,0,0,2
"RP11-305P22.9",1,0,0,1,5,4,1,2,1,4,2,0,3,0,0,1,0,3,2,0,2,0,0,2,0,0,1,0,0,0,2,2,1,1,0,0,1,5,1,1,0,1,0,1,1,0,0,0,0,1,0,0,3,7,0,1,0,0,2,3,0,0,1,0,1,3,2,1
"RP11-333O1.1",5,0,2,0,8,2,3,15,1,14,2,1,5,0,14,2,3,0,4,2,4,0,0,2,0,13,2,2,2,0,0,3,1,2,1,8,1,2,0,8,1,1,9,4,1,1,0,1,0,0,1,0,0,8,0,0,2,0,6,13,5,5,0,4,1,2,15,0
"RP11-351I21.11",2,0,0,0,0,2,0,0,5,4,2,4,0,2,6,6,2,6,0,3,3,0,0,3,0,3,0,4,0,3,2,2,0,1,0,0,1,0,2,0,2,2,1,0,4,1,0,6,0,0,3,0,0,0,12,6,2,1,0,1,0,3,0,0,2,2,0,5
"RP11-358M11.4",0,0,0,0,0,0,1,1,1,0,7,3,0,2,0,3,2,3,0,1,1,0,0,2,0,0,3,3,3,0,3,3,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0
"RP11-384J4.2",0,8,0,3,0,1,0,0,2,1,5,19,0,3,1,5,2,1,0,1,1,0,12,0,9,0,3,3,2,1,10,3,0,7,3,1,2,0,1,1,4,4,0,1,1,2,4,9,0,2,6,9,0,0,2,3,5,13,0,1,0,16,0,0,4,5,0,4
"RP11-397C18.2",1,0,0,0,2,0,2,4,0,13,1,0,0,0,18,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,2,3,3,0,7,0,0,13,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,1,4,0,0,0,0,1,3,1
"RP11-406A20.1",1,2,0,0,0,1,0,0,0,0,2,0,3,7,0,2,0,1,1,1,2,0,6,0,1,0,2,2,6,3,6,6,0,5,4,0,4,0,0,0,0,0,1,1,6,0,4,4,2,1,3,1,3,0,1,8,4,0,0,0,0,1,1,3,0,0,0,6
"RP11-411H5.1",6,0,4,0,17,11,0,19,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,1,1
"RP11-415C15.3",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,3,0,0,3,0,3,0,0,2,3,2,1,2,0,1,3,0,0,1,2,0,1,1,0,2,1,0,0,3,2,0,3,0,0,0,4,2,5,1,0,0,0,0,2,1,1,1,0,1
"RP11-417E7.1",0,0,19,0,4,0,4,56,0,7,1,1,57,0,1,0,4,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,4,1,1,7,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,3,1,0
"RP11-419I17.1",0,2,0,0,1,0,1,0,0,2,1,2,1,1,0,5,11,2,0,3,2,0,3,4,3,0,0,3,2,7,3,0,1,2,2,2,4,0,4,0,4,2,0,3,1,2,1,2,5,3,3,2,2,0,4,4,0,0,0,0,0,2,1,1,0,1,0,4
"RP11-424I19.2",2,0,0,0,11,1,3,10,1,2,0,1,19,0,2,2,1,1,2,1,0,0,0,0,1,3,0,2,0,2,0,1,0,4,3,5,0,5,1,7,1,3,5,0,2,0,0,0,0,0,0,0,1,3,0,3,0,3,2,4,1,0,0,4,1,4,8,0
"RP11-426L16.3",3,3,0,0,0,0,1,1,7,0,1,1,0,6,1,1,1,1,1,2,1,0,1,0,2,0,8,3,5,4,2,3,1,5,0,0,3,0,1,0,0,4,1,0,2,5,2,0,3,1,4,2,4,0,0,1,2,0,0,3,0,18,2,1,2,0,0,1
"RP11-431M3.1",3,0,0,0,1,0,0,0,2,1,4,2,0,9,0,0,0,2,0,1,2,0,3,0,2,0,2,1,2,4,9,2,0,0,2,0,0,4,1,0,7,1,2,6,0,3,1,16,0,5,8,2,1,1,5,1,1,0,2,0,0,0,0,0,0,0,0,1
"RP11-44F14.1",26,8,16,7,158,17,40,327,37,58,12,22,28,15,63,18,7,9,17,6,15,0,12,44,3,31,18,7,3,8,13,13,29,21,12,29,15,11,4,103,8,18,68,14,10,8,18,13,7,6,6,8,6,54,7,22,12,3,40,57,88,7,9,18,9,12,15,17
"RP11-465K1.2",4,0,0,0,0,1,2,0,6,2,0,1,2,1,2,10,0,0,0,1,3,0,2,2,8,0,3,4,7,0,3,1,0,0,2,0,4,0,0,2,4,5,1,1,0,1,3,14,0,3,1,1,4,0,0,0,1,0,0,0,0,0,1,0,8,1,1,1
"RP11-469H8.6",0,0,0,1,23,3,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,14,0,0,0,0,0,1,2,0
"RP11-473L15.2",0,2,7,0,9,6,3,9,0,13,0,1,3,0,2,4,6,1,7,1,3,0,0,2,0,2,1,0,1,1,0,0,2,0,0,1,1,1,3,2,0,2,15,0,0,1,1,1,0,0,0,0,0,10,2,0,0,0,3,4,5,1,0,0,5,3,2,1
"RP11-47I22.3",13,8,1,4,41,7,35,59,11,35,0,9,77,8,71,12,13,7,24,12,23,0,6,23,3,35,7,11,13,11,6,7,25,10,5,54,1,12,4,52,4,12,56,8,8,1,4,12,1,3,1,5,8,42,5,2,6,9,30,5,41,9,4,14,14,20,48,6
"RP11-484N16.1",3,2,0,11,3,7,1,1,1,6,0,2,0,0,7,2,0,0,1,0,3,0,1,1,2,6,0,0,4,0,0,2,8,0,0,7,0,5,1,6,1,0,8,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,1,3,0,4,2,2,3,3,1,2
"RP11-498D10.8",2,0,6,0,6,6,4,2,5,1,0,2,0,1,3,2,0,1,4,1,1,0,1,0,1,2,1,1,1,1,1,0,0,0,0,5,1,4,0,0,2,2,1,0,0,1,0,0,0,0,0,5,1,1,0,0,0,2,8,0,3,0,1,0,2,3,7,4
"RP11-506H20.1",11,7,16,15,11,11,12,9,6,6,5,3,1,12,4,9,7,0,0,0,0,0,0,4,0,1,4,1,4,0,15,0,7,0,3,3,0,8,0,4,0,9,6,1,3,0,0,9,2,1,3,7,0,4,1,0,1,0,12,12,8,0,1,0,0,9,9,7
"RP11-531H8.2",0,0,0,0,12,0,10,72,1,8,1,0,4,0,9,0,0,0,0,1,0,1,0,19,0,4,0,0,0,0,0,0,1,0,0,5,0,1,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,3,1,0,4,2,0,0,1,0,0
"RP11-536O18.1",2,2,8,1,69,16,16,111,0,52,4,6,45,1,6,9,3,8,9,4,5,0,2,13,0,17,0,14,10,3,5,2,8,4,0,15,2,9,5,28,4,14,61,1,14,3,6,1,1,0,8,2,5,53,5,8,1,1,28,83,22,5,4,5,5,21,40,1
"RP11-626P14.2",5,1,1,1,0,0,9,0,4,1,8,24,0,3,0,8,13,6,0,22,2,0,7,2,3,0,4,32,4,4,10,2,6,33,4,2,0,5,33,0,19,6,1,9,9,21,10,3,1,17,22,5,2,0,14,15,12,5,1,3,2,13,3,23,16,18,6,7
"RP11-664D7.4",3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,0,9,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,17,1,4,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,9,5,0,0,0,2,0,1,8,2
"RP11-667K14.3",4,0,0,0,1,0,5,3,0,4,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,2,2,0,2,0,3,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,4,0,0
"RP11-675P14.1",0,1,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,0,6,1,2,0,0,1,0,3,0,2,0,5,4,0,2,3,2,2,5,2,3,5,1,0,0,1,0,0,4,1,0,0,0,0,4,1,1,0,1
"RP11-676J12.6",0,0,7,0,1,3,1,12,1,0,0,3,3,0,0,0,0,0,6,0,2,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,3,0,5,1,0,0,4,0,9,3,0
"RP11-6F2.5",1,1,0,0,1,0,0,0,1,4,0,1,1,0,23,0,0,0,0,1,0,0,0,1,1,9,1,0,0,0,0,1,3,0,0,16,0,1,0,12,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,0,1,0,6,0,7,0
"RP11-702B10.2",1,0,0,0,4,1,3,2,0,9,1,0,0,1,28,1,2,0,2,0,0,0,2,8,1,16,3,2,6,0,0,0,6,1,0,32,2,3,0,39,0,2,17,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,3,5,1,4,0,0,4,0,1,3
"RP11-727F15.11",2,0,0,0,0,1,2,2,1,3,2,4,0,1,2,2,5,1,0,1,0,0,2,1,2,1,2,4,1,1,1,2,0,0,0,2,1,0,1,0,0,1,0,0,2,3,1,4,4,3,4,1,2,0,0,0,1,0,2,0,0,0,0,3,0,2,1,0
"RP11-797D24.4",0,1,1,0,0,0,0,1,0,3,3,5,3,1,0,1,8,4,0,1,2,0,2,1,0,0,2,5,1,0,0,4,0,2,0,2,2,1,4,1,0,0,0,1,0,4,1,3,1,4,2,0,1,0,0,0,0,0,1,1,0,2,0,0,0,3,1,3
"RP11-800A18.4",6,0,7,18,24,6,9,8,4,22,0,1,3,6,45,5,2,0,7,7,2,0,4,17,2,3,2,5,0,11,6,0,1,1,1,6,0,3,0,31,6,3,14,0,0,0,0,0,1,0,0,0,1,7,2,0,2,1,12,7,3,2,0,2,2,0,7,2
"RP11-80B9.4",2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,2,1,0,0,0,0,2,0,3,0,1,3,1,1,0,0,0,2,0,0,0,0,3,0,3,0,0,2,3,1,1,0,0,2,2,1,2,0,2,0,2,4,1,0,0,0,1,3,2,0,0,3
"RP11-82L18.4",2,0,8,0,9,6,2,95,0,1,0,1,51,0,1,2,1,0,1,2,3,0,0,0,0,2,0,2,1,1,0,0,0,0,1,3,1,0,0,0,2,0,19,1,0,2,0,0,0,0,3,1,0,10,1,1,2,6,0,4,4,1,0,1,1,0,1,0
"RP11-94A24.1",0,0,5,0,1,2,5,1,0,2,0,3,3,0,0,2,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,3,0,0,0,0,3,2
"RP11-96C23.5",1,0,1,0,2,0,0,1,0,0,1,2,1,0,0,1,0,1,0,3,0,0,1,0,5,0,0,4,0,0,1,0,0,0,3,0,6,0,3,0,3,1,0,1,0,3,0,1,0,0,1,1,0,1,3,0,2,3,0,0,0,12,0,1,3,1,0,1
"RP4-541C22.5",0,0,0,6,1,1,1,4,0,5,0,1,0,0,3,1,1,0,0,3,1,0,1,5,1,4,0,0,1,0,0,0,3,0,0,13,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,0,0,0,1,3,0,0
"RP5-1011O1.2",7,0,15,2,16,2,2,6,2,3,1,0,3,0,0,0,2,2,1,1,2,0,0,0,1,0,1,0,2,1,0,3,0,0,1,0,0,6,0,2,6,0,3,0,2,2,0,0,0,1,0,0,0,5,0,2,1,0,4,3,2,0,0,0,1,1,7,1
"RP5-1142J19.1",6,0,1,3,9,1,2,6,5,6,0,0,0,4,19,2,1,0,5,0,0,1,1,0,1,1,6,1,5,0,4,0,4,0,2,13,1,1,2,3,0,0,8,0,1,2,0,1,1,4,0,0,1,3,0,0,1,4,5,7,4,0,1,1,1,0,6,0
"RP5-1147A1.2",0,0,0,1,0,0,0,1,1,1,1,3,2,0,0,1,2,0,0,1,1,0,1,0,0,0,0,2,1,4,1,3,0,3,1,0,0,1,1,0,1,1,1,1,2,2,4,7,1,1,1,1,1,0,0,3,1,0,2,0,0,1,0,0,0,1,0,2
"RP5-968D22.3",18,5,5,37,6,0,39,7,25,29,1,4,1,15,27,7,15,2,18,4,9,0,2,29,3,31,8,10,5,4,2,6,57,2,3,15,3,13,2,23,6,6,18,5,1,7,6,6,0,2,11,1,4,13,5,1,8,7,15,19,30,0,0,8,11,3,29,1
"RP6-149D17.1",2,9,0,7,0,0,6,0,0,0,10,8,4,0,1,11,64,9,1,4,7,0,11,4,5,4,0,26,3,2,13,20,4,18,0,2,0,1,3,0,17,0,0,0,17,6,0,1,7,5,0,11,0,0,5,3,11,6,0,5,0,53,9,0,13,2,2,6
"S100A2",27,10,21,67,66,54,59,150,23,146,9,13,21,20,148,19,52,5,11,8,14,0,10,88,23,74,9,18,23,7,11,11,34,22,6,108,19,17,3,141,8,10,80,6,13,6,8,26,8,8,11,7,10,199,9,15,5,6,69,116,39,8,7,12,25,20,42,4
"S100A3",25,1,76,2,106,9,83,358,31,105,6,18,99,5,33,10,15,6,5,10,18,0,3,30,2,30,3,23,24,2,1,14,3,3,9,39,6,18,16,86,10,16,77,8,21,16,4,10,14,5,14,9,15,92,16,15,1,1,37,114,26,3,3,20,25,27,65,11
"SELP",343,41,430,96,2182,354,604,6235,211,1885,61,146,1903,55,356,150,294,99,308,142,285,0,57,536,63,590,75,177,401,207,70,88,362,49,122,686,92,344,122,1426,125,253,625,138,275,151,69,385,55,79,107,140,140,2000,203,91,79,77,1180,1327,924,214,36,321,248,384,1659,166
"SEMG1",24,11,17,19,97,37,30,59,24,18,8,42,2,24,162,21,52,3,36,3,11,0,3,51,3,41,16,0,8,1,8,4,115,2,2,28,6,27,10,74,2,3,37,2,0,3,8,31,4,4,17,3,10,4,1,2,3,3,19,30,40,0,1,13,7,38,53,11
"SERPINA3",0,0,0,0,6,0,5,3,1,0,3,0,4,0,9,0,0,2,3,2,4,0,0,0,0,3,0,0,7,1,0,3,3,0,0,3,1,1,3,5,0,2,4,1,2,0,0,2,0,0,2,0,0,8,0,0,0,0,0,22,5,0,1,0,2,3,14,0
"SERPINA4",2,0,0,1,7,1,2,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,8,3,1,0,0,1,0,3,0,0,0,0,3,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12,8,5,32,0,0,0,0,0,0
"SERPINB2",3,0,0,2,13,9,0,182,2,6,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,2,1,4,3,0,2,22,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,28,3,0,1,0,0,0,1,0
"SERPINB5",2576,174,2665,14292,6436,3648,863,8225,906,2531,214,681,24,243,12468,374,2437,374,250,105,523,0,506,1752,209,2115,370,272,603,172,219,224,1121,167,138,5708,263,510,429,3237,238,779,5588,269,309,320,832,526,103,204,91,138,227,4367,682,237,202,660,2666,7661,579,2783,130,222,385,199,5850,268
"SHC3",7,2,19,1,37,9,9,241,3,11,0,2,122,0,7,3,0,3,7,6,4,0,5,3,0,5,4,3,1,4,1,2,0,1,0,11,4,1,5,2,2,2,70,5,4,3,1,4,0,2,3,1,7,21,2,3,3,0,1,3,2,6,2,4,5,3,7,3
"SIX4",12,3,18,3,44,18,22,193,9,37,8,15,137,5,17,17,8,8,19,2,16,0,4,17,1,20,4,7,8,6,1,4,4,3,9,31,11,6,12,72,7,17,51,9,3,9,3,19,2,4,10,7,16,94,7,16,6,0,21,67,38,4,4,13,4,20,38,14
"SLC18A3",1,2,0,0,1,0,0,0,3,1,0,0,6,6,0,3,8,1,0,0,0,1,7,3,1,1,1,9,4,3,3,1,0,1,0,0,1,0,3,1,0,2,1,4,0,0,0,0,3,2,2,3,1,1,0,5,3,2,2,1,0,0,1,0,3,0,0,0
"SLC25A15P3",0,3,0,2,1,0,1,0,32,0,5,8,0,6,1,1,0,11,0,1,1,0,4,2,0,0,5,4,9,2,11,12,0,4,0,0,1,3,13,0,0,3,0,0,5,1,11,1,4,3,0,2,10,0,4,10,2,2,0,6,1,2,1,0,1,2,0,4
"SLC38A4",9,47,73,79,10,127,9,20,19,12,19,21,134,10,0,14,15,284,0,2101,23,0,370,16,199,8,5,173,31,3977,247,148,8,228,69,5,10,16,131,5,62,16,15,93,86,19,54,109,6,87,40,20,28,16,25,126,20,26,3,38,18,91,23,120,48,7,11,27
"SLC45A2",2,16,4,1,4,11,0,0,17,1,30,40,2,10,1,6,5,31,0,27,6,0,34,3,3,1,5,32,18,33,30,49,0,21,13,0,18,2,18,2,14,3,0,8,15,11,7,17,16,3,9,8,18,0,2,2,18,14,1,1,2,2,7,9,30,1,0,14
"SLC4A11",28,22,17,12,148,123,39,120,24,214,12,16,39,15,233,21,37,3,14,6,29,0,27,71,23,34,22,23,65,17,19,17,42,15,20,86,29,40,14,130,5,46,109,12,30,22,12,22,6,7,7,3,23,86,20,11,20,30,145,257,30,9,7,14,18,65,104,20
"SLC5A11",3,67,36,15,6,4,4,4,157,0,61,78,10,50,0,16,38,90,2,50,34,0,210,12,191,2,148,56,30,63,84,193,2,100,92,0,64,5,117,5,39,15,1,45,238,174,217,52,146,19,75,50,93,5,120,129,162,61,4,73,6,2078,19,15,9,132,8,57
"SLC6A19",151,5181,468,315,22,45,429,241,851,37,480,756,107,9025,105,730,2113,3699,60,4075,2964,4,4520,251,10272,47,7360,1601,4148,7701,3317,5308,208,2665,5198,44,3123,363,3268,22,592,151,44,2906,4562,2104,3111,9809,1490,662,2000,3878,1906,27,290,3057,3956,627,42,1864,118,41919,368,800,563,2169,196,1530
"SLC7A11",450,565,163,670,1172,336,1798,3629,547,1876,126,249,405,499,1857,332,307,254,743,151,510,0,355,810,206,2531,512,227,317,167,554,473,1060,401,263,3550,225,519,269,1522,345,269,1572,334,216,355,272,522,51,191,272,175,227,1666,165,324,230,262,1606,1380,1641,180,333,451,461,740,1457,372
"SLC7A5",669,150,117,739,1810,521,1012,2990,412,2578,175,200,3422,128,1599,294,349,211,524,141,387,5,131,1167,111,891,127,265,786,189,132,260,268,113,164,1530,266,549,257,2144,146,496,2606,292,479,247,126,451,167,223,215,179,201,2542,187,194,159,133,1340,1774,1373,269,130,509,406,925,971,292
"SMCO2",2,1,6,0,9,0,7,18,7,11,1,3,18,0,10,0,2,0,7,2,4,0,3,6,0,14,1,3,7,0,1,5,6,0,1,5,2,5,2,8,5,2,13,1,1,1,1,0,0,0,1,2,2,13,1,2,3,0,2,25,1,5,2,3,1,18,8,2
"SNPH",445,73,89,39,505,178,669,178,240,439,90,139,201,354,1971,336,141,130,362,295,582,0,90,1137,110,1310,275,161,234,64,443,162,962,132,228,1976,419,619,148,695,64,220,312,104,168,114,40,200,82,100,190,75,115,260,157,115,77,124,396,345,820,108,80,109,124,348,985,328
"SOCS1",134,19,35,19,268,57,477,466,138,450,24,23,754,72,879,107,49,41,80,64,163,0,66,183,32,206,74,66,312,20,58,104,341,61,47,394,54,145,46,562,16,71,260,21,59,30,10,68,33,14,19,14,47,193,31,24,36,23,172,213,355,42,39,24,57,188,312,23
"SPATA22",0,1,0,0,3,0,1,0,2,3,5,5,6,0,0,1,3,2,0,75,0,0,1,4,0,1,1,3,51,2,28,3,2,3,0,0,2,1,6,1,3,2,0,0,2,0,2,4,0,0,5,0,2,0,0,1,1,0,1,2,0,3,1,0,0,2,0,10
"SPNS2",1174,2879,615,1853,3797,1183,1962,2095,607,5353,212,318,666,1578,2607,263,1115,327,1304,497,386,1,437,1505,641,1838,304,477,1183,159,388,667,3374,408,515,3419,487,686,252,4982,330,495,2196,191,455,301,168,871,116,487,415,311,436,1610,331,212,226,415,2766,1843,1737,741,253,172,492,902,1736,393
"SRPX2",122,82,226,145,373,1186,259,1145,196,408,47,167,722,79,409,70,127,53,128,54,66,4,65,188,29,118,74,92,36,103,40,70,177,58,52,359,43,135,59,499,135,123,533,52,71,73,38,116,39,62,65,29,134,456,53,91,43,28,333,444,190,42,34,93,153,235,218,70
"ST3GAL1",995,253,747,206,1907,987,1579,3835,749,5624,440,622,5408,494,10748,756,848,991,2160,564,1443,13,642,2565,337,6219,339,962,1598,629,377,912,5279,496,744,11444,632,1909,713,8217,659,1060,3578,765,1261,887,522,1677,257,480,982,529,739,3077,837,771,524,390,3613,3655,3997,1247,236,1073,1069,1992,4546,880
"STC1",98,27,102,12,533,59,155,5498,39,718,57,73,338,12,245,49,179,49,112,22,57,1,54,328,41,205,21,67,62,34,25,10,33,9,21,414,70,49,65,976,71,34,855,67,38,48,26,64,29,26,45,22,36,1538,23,50,29,11,155,586,262,25,15,24,39,128,390,11
"STEAP4",203,33,325,56,1591,692,2081,3118,216,990,193,247,5482,48,678,149,235,139,150,123,311,0,59,346,24,248,54,199,72,210,33,30,209,57,118,640,202,310,131,887,183,165,2269,209,170,205,71,247,69,125,236,107,170,806,135,166,129,28,533,889,818,110,43,369,231,253,664,260
"SULT2A1",5,306,234,73,2,6,8,13,16,6,531,78,3,248,5,2,230,125,14,3,187,0,22,8,205,8,220,76,12,4,49,202,3,260,46,0,190,16,84,0,572,30,1,115,9,2,379,7,133,273,411,88,101,3,110,546,120,10,11,166,2,3114,368,210,2,141,7,203
