"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_HILp_QI11002",900912,83659,3276522,5344,25163,5522558,7694,1645688,26722,29119,1665747,104882,41564,55053,3173409,5192,97585,79675,36450,100024,50538,14846,146934,17842,51807,69102,7807,10276,40911,21818,91485,43898,8865141,153162,72152,24712,282907,40109,68715,416677,17485,61635,144455,9203,20723,74461,19079
"_HILp_QI9527",894885,2285551,5693999,902591,94153,4758494,799923,5251466,686443,704685,3106063,521238,1221956,896899,3394285,474326,618467,751304,289119,507075,827936,446578,719738,305010,727567,174201,2153930,469275,971557,534787,957858,387437,17723684,1059375,658789,342168,262896,712584,625728,555044,147937,245253,147960,494951,850066,249228,932460
"_HILp_QI9152",7080623,2432606,26126355,5220324,25788962,984249,1224519,1110341,1504394,5112961,12749054,334434,5301287,154942,2946610,130760,120490,30867005,512110,247844,755313,132474,131009,795161,159145703,171026,3263190,246636,43145679,259841,2090832,1312981,2623163,4743377,907578,2182331,23859883,638654,949871,11033983,578907,2328057,49021629,1600017,820692,494176,4074139
"_HILp_QI12491",41295719,96713,970388,23479,323661,48530365,154520,80135,7467020,130622,21611250,82719569,5342458,2242479,542717,218381,118570,345422,147459,736805,2372973,387843,73452981,220801,187482,2081012,1086943,60507,4438775,9360747,7878550,1793416,49343,414843,6257243,398113,50818867,215042,3516966,243300,33713,60393,104364,335609,815768,86915,44684777
"_HILp_QI7442",365107,14052749,3498772,1315895,7854825,6396,5288287,2756158,24604950,372148,15166,23947,168213,135834,118819,56865,28438,4593106,45065,233378,97449,24115,19858,4563895,22320,159566,29219,18312039,130309,20293,34337,57358,1223797,297413,387230,279485,27246,2743629,668214,231511,210284,333427,162965,722850,328227,7926,113038
"_HILp_QI5620",1223,1530906,68115,101819,6012,192798,125140,337570,46333,94005,119084,38106,31053,45494,77559,41690,1498479,126511,444230,190351,124851,4453,38259,74114,68912,39084,13608,115270,185333,38588,147428,524595,106292,105993,84323,77200,31793,41526,66400,98350,639657,153250,500233,946298,99284,44996,127783
"_HILp_QI7748",35581,148093,98538,79840,211041,90618,429901,29591,261714,91096,3960,738222,128283,541726,218294,11017,24128,660442,17856,112724,21250,895200,37876,96004,18133,35795,4536590,584321,46556,36801,7276,27687,65918,87004,38272,20853,239846,711964,46983,21994,148026,17788,24986,81484,48852,64804,191200
"_HILp_QI11665",25123846,1115135,1444133,2173099,836492,21873619,355724,397650,3178779,659132,11130891,14976480,3708114,1578874,1275087,703086,1012440,373616,528929,1484202,2463216,577467,20296019,426527,675485,1625491,796238,349511,3246915,4616817,4517899,1654223,3242947,987989,2758630,1045286,12547696,1018198,3405206,403171,240954,543402,1048647,810749,1682377,440570,12459402
"_HILp_QI12490",302153666,2377207,11029438,477233,7187277,243013053,403456,31504,36909852,120453,120505981,176593701,41258703,10893393,1650764,277488,1607880,807232,393521,8382519,12454801,2482776,198111915,1520457,471865,14431673,1794192,328549,30556057,50061922,42081351,11218595,288462,1185251,29561690,1169608,151742274,817959,30457858,260229,365225,289645,1752605,360123,6167240,910086,150786264
"_HILp_QI10697",299078016,1779750,6931532,2151452,3695976,191199845,796774,239069,20994532,661220,98289163,156879680,32914642,6333608,2789874,1287683,2053934,674706,1230875,7754300,10094289,2215042,215317811,1164919,1239765,9595525,1240814,1407796,20482733,36529777,29800261,8399889,466829,2310088,18203040,2787337,130209635,501684,21961519,508855,243215,968237,2196370,537644,5004302,913138,95358481
"_HILp_QI10760",8330722,99283,212195,5028,28215,4869961,37077,31465,456744,75522,2779072,3841355,875773,202961,54605,127084,307621,4650,55981,309765,269253,96006,5233779,25065,47527,198732,20586,49013,531209,1015237,716691,372089,46332,197664,479981,74485,3565953,12599,1119709,11433,28834,30712,77600,28972,109066,84384,2532692
"_HILp_QI11227",353274525,5125933,9590527,3518726,4710372,244459152,976017,344616,27002896,817525,119923023,184249453,40317884,7252099,3744013,1284897,3468514,1077055,1350677,9130890,14369477,2586423,255513154,1671498,1779024,11651060,1256202,1403269,25696702,44116258,37288271,10721801,814107,2613358,23175286,3679807,154260667,1449908,28156377,866579,345977,1694940,3041306,763658,7887218,2097642,118774317
"_HILp_QI11036",1015,276869,11727474,16265326,473117,375518,272218,138888180,27100,12013401,418416,20166,174282,150138,684381,5419757,267701,184438,1323764,1806848,7627875,189736,27231,18395731,20570538,142586,27714,119280,2693564,8913136,3305442,3427494,73375,26738221,4183844,668981,65619,364161,258688,28624855,353788,74124554,4819329,11951549,1123788,1047339,114861
"_HILp_QI1245",494630,54929,7708,11886,161726,6118,3769,1382,15300,466,6901,717,1361,4288,1904,1420,1230,57142,2640,1594,2637,128,662,1618,1833,1978,2296,71164,849,2019,2114,1019,1055,5360,3472,1785,1426,41683,2718,1065,134,781,9075,2414,1281,1639,2897
"_HILp_QI12177",1896801,633605,6206257,1385705,16130031,1118996,126039,113182,6500437,627594,5723994,153832369,5574508,161869944,618647,400281,1582749,181526,759630,4419855,1266674,408127,6996506,423994,599028,814653,103035525,4680681,1846983,12383850,1746314,6331546,98759,1919878,4323954,617842,772049,298917,2874478,1369046,6946,517179,1472417,739566,8199607,387259,6530198
"_HILp_QI9036",4739,119665,599392,5734711,98487,1196801,211263,2393836,35054,2155493,1640967,85989,37028,1628,677874,754679,73760,78511,601554,668412,4625246,100402,378454,2134564,2855968,216308,3692,494782,1281547,2498634,2213025,7514782,106601,3465894,1810792,1851730,8940,2184573,412161,4602304,1776579,20376716,20656179,2759509,5127292,1015181,1619365
"_HILp_QI10943",1504,614920,311202,63170,9985,41795,28137,27515,113838,59530,105354,13893,37778,27154,32811,1730242,484896,2306,213405,64701,46518,3373,244206,43778,493713,74059,6750,90010,135385,118967,142215,45069,57283,19182,76487,105781,728,5366,83325,11328,46302,7423,141927,302035,4776,47534,133598
"_HILp_QI6933",14753535,58340,160201,108456,33522,1256543,170726,79861,53691,135134,166381,12968224,1608260,2662046,81923,42703,476947,24219,230628,18948393,109567,100656,4677294,9167407,65662,81402,3708112,45382,97378,256785,104171,99068,213905,781010,159779,12915646,1921570,3873,210739,122937,252105,99695,214450,161265,144971,54255,252550
"_HILp_QI12792",1508661,92273,28882,21278,31214,616000,50857,44726,299682,404,10984,3981273,322566,3542682,482742,21390,204286,72400,5870,22238,211829,176812,309451,463471,20433,8958,3748241,173042,477677,186810,808350,32565,577915,37654,86228,21488,2219409,186438,38856,4795,2568,8307,180301,28013,749040,266945,1594531
"_HILp_QI7400",1471,68012,153562,807650,39153,9028,162684,58947,27210,113680,50127,11288,77222,25356,42367,103941,117604,25020,56929,103095,103726,9687,5797,68362,154896,22942,84219,18165,91042,188235,63854,63547,162139,1650205,124719,65664,32307,2158,216850,1228949,260767,1225898,96775,171768,75637,41180,21525
"_HILp_QI530",134412,4096,7600,8584,13663,24678,6108,7867,7952,8124,550822,6608,62826,2133,62519,19573,8782,62051,8479,15721,13336,116132,13920,3937,7607,10841,6752,13342,39935,80302,60817,11372,25006,4369,22443,8000,4900,11825,39124,5780,4708,2291,11736,10691,32547,237628,19089
"_HILp_QI9321",612752,6101340,437694,36224163,1683537,444994,191941,1086176,237702,106329,4945,37067,2626561,3732427,146469877,9112099,25372,2524313,17069,61343889,52931,8562,178566818,646634,27103,18592,43786888,1746765,96578,1787,12391,35475,125767,7099148,91255,76009,18685,861554,278767,17302,171454,70201,22266,120020,29509954,2857,6658
"_HILp_QI7909",34542271,3542499,7308397,482191,119385678,134229,9293204,1552474,22020549,5806,798,312,3264,2648,313,13479,9530,35636043,15484,10207,15218,213,2865,705736,2684,913,412,15068213,16799,4730,4542,17207,51622,8263,9649,30392,12142,1935023,7455,2464,29313,2959,15828,112627,12662,1299,342
"_HILp_QI5064",3126,12991,19238,4704,1369,622457,60298,2450,179435,12435,12602,1787256,105922,2643939,10671,12832,26437,3499,30113,50907,54397,17427,1571094,35181,23075,5263,2818507,1138,42149,22748,35604,24793,6128,16055,35001,49505,4282150,2828,50631,14946,50614,5297,24053,29132,47798,7940,1769585
"_HILp_QI5114",5109,20911,160563,801288,32038,2294,18113,19277,21253,60180,36362,6972,14540,7610,28963,57550,14953,952,8886,29290,16957,8244,23518,55244,12944,7382,23606,18943,30375,12090,17458,20552,15431,717821,127604,20268,893,1490,212689,674417,63638,613766,72182,128036,84581,20577,21831
"_HILp_QI12793",9090244,3508865,1247383,1731702,2349752,1895520,2728834,2811884,1381585,148533,4960867,51627435,2778425,117621905,15147170,941595,12229810,2871515,960843,1420235,2286700,1266847,3235287,37365985,505601,2151593,19048828,9917805,22547149,3179430,3187924,7177509,10942925,3161199,21375396,1447548,399929,2062178,1726511,3054559,45143,4233431,3326647,3032500,5463381,7848190,26046402
"_HILp_QI13763",3280654,587087,466442,748978,1372408,10016167,696128,1785309,1031217,21080,1526542,17696191,881395,52705776,7894348,82912,1086584,739595,63569,258728,648024,279565,955459,17259462,31917,938310,11457950,537756,4377321,727927,999416,583819,3633970,746664,1980399,194707,869002,549947,527562,539028,13844,527018,1284670,1164746,1600667,2978488,13948816
"_HILp_QI12833",1756629,116966,440147,213514,1358579,784896,725893,142187,779842,66169,2207019,5120458,1099560,680327,240132,86286,789101,978284,265554,59468,2024927,2782743,235530,2009,120406,1100256,3058671,2784019,2805292,416210,197497,348866,28949,186983,170715,75122,10538232,353983,405079,35882,5156,537341,15737,1228113,2381269,2555985,422463
"_HILp_QI5226",10353328,15017,75940,8409,2141829,407116,34968,12994,2841894,19837,12833,1681944,6489750,6099388,4685,12351,51559,58444,6038,1125883,17507,229757,2112977,2054020,7373,1413557,18062193,33529,737799,369871,179421,35618,20500,84331,4128512,4816920,5015961,3545719,32950,13671,12046,3026,12827,32338,8863,10432,7541579
"_HILp_QI552",4428404,79602,100312,16312,1220063,569114,58418,49069,1784777,37413,52447,879211,2740047,2610948,72172,46931,169055,191199,45922,703287,30048,270045,1342347,1045101,28416,815096,7484217,221172,578618,382315,295100,127487,67133,178841,1944923,2137358,2260458,2115090,107582,70743,55910,36171,43476,34558,47738,109687,3665176
"_HILp_QI2308",66167,45907,39874,2107,91809,230238,11510,13215,20689,195909,11862,441345,71429,281427,24071,17072,99490,86113,21031,178617,21346,172555,10800,67447,1699,8079,854265,135838,29048,50173,19154,42803,169860,134985,13832,6266,380058,8811,44866,23393,94866,17247,25363,28359,30452,105813,33301
"_HILp_QI4265",2578713,1597125,1222370,662483,2535081,8623587,437820,520483,790374,6391965,272130,15139119,3450912,11677757,852238,707859,3970285,3382045,668727,7615345,680354,6751412,384118,2590768,284205,386698,37950477,4671725,1142580,1758108,629786,1053461,4885290,6501130,759076,376671,19693350,241808,1668267,828467,4969468,700384,973086,696562,953284,3330181,1221942
"_HILp_QI3489",3519897,2266663,1718346,955400,3232629,11604737,615800,649776,1129961,8796737,361646,20158787,4813565,15953108,1132882,896019,5397489,4416584,914265,11267225,878000,8913798,530614,3646149,384078,546530,52311463,6312826,1551138,2417710,860172,1461213,6881262,8847254,1083605,525181,26200526,357785,2248055,1179682,6846157,985692,1370420,954239,1270345,4665307,1668351
"_HILp_QI3558",357737,277803,204055,40266,350449,1335393,58542,52184,121922,895796,39442,2418512,500578,1825539,113373,77040,576867,503224,100094,1213083,99989,987553,55299,406949,31422,49456,5975952,707483,168921,256895,94664,160717,788615,930576,108160,50725,2964474,33180,248559,129178,641211,104829,163725,98245,127813,520761,191928
"_HILp_QI1731",144872,101380,62148,9160,83016,302584,285212,15686,32257,239023,18796,555116,119118,409149,33337,26104,143501,125389,24978,297917,32228,246138,28391,93335,9984,15073,1382461,173044,50263,63474,27058,50120,195967,225488,22002,234424,695380,16651,75031,33788,211321,27106,33274,30533,40319,130381,47699
"_HILp_QI5075",87886,2551282,474742,3989684,247264,505112,126673,126774,279990,54026,1468265,6617,67056,299,38900,41074,44393,34330,42598,159394,36082,6694,78613,48956,28191,24480,689424,267330,87500,811990,23844,41687,257129,266124,1526247,1710256,1605886,37324,124524,95679,133795,41424,37443,74955,65075,14096,4257
"_HILp_QI670",249637,8224,9249,3452,16299,54805,20214,8226,481,46362,4040,135265,37006,131884,9442,10266,21098,82120,3124,60476,1198,47011,53230,21264,874,1929,196558,34724,8872,16109,14434,13920,39582,47774,1897,17179,84714,13503,7706,10222,28524,4420,822,2632,5263,134607,7815
"_HILp_QI690",379226,10890,12690,7389,26202,50921,2870,9334,3242,102566,2503,215868,38199,156996,16377,7860,38404,113811,5330,90619,1704,71988,47032,45673,1482,3754,366520,65172,13809,27468,30041,24384,51701,71354,5167,2551,151175,34601,14922,9774,52762,9687,2439,2752,6565,52774,13355
"_HILp_QI307",2833563,81552,90725,62947,213065,319757,42124,45302,48499,523053,22908,1290176,273267,1022498,105807,39493,249646,749271,40003,597989,27379,535595,288510,274054,22680,32759,2294836,396116,106928,213828,204172,151397,310783,523557,38884,35853,990662,232140,120555,73186,389773,80863,44440,37039,49538,285734,121425
"_HILp_QI683",78619907,2331699,2539143,1881040,5937080,8793239,1002958,1275355,1466745,14303002,713441,34687090,7416077,28898437,3023794,1177577,6985505,20406613,1180960,15749939,833466,15170300,7643325,7446388,729345,1036268,61765110,10939538,3045560,5811187,5800456,4144433,8674595,14407743,1277088,952232,27000734,6469216,3521163,2011558,10670862,2309677,1373296,1069415,1416413,7600998,3579389
"_HILp_QI710",6368188,192126,210174,148827,503803,750300,80243,108271,117415,1179574,56348,2884530,634530,2367965,252149,94361,581015,1687988,99110,1337522,69099,1216008,664629,622376,55721,85230,5174884,906876,256565,487503,483055,348346,713291,1215133,100481,77672,2295017,528756,287607,168007,900139,185542,110373,88134,117200,642465,294022
"_HILp_QI1061",1877991,51431,55378,40519,147485,227657,31338,28694,32470,352785,14918,838598,182368,696053,73137,25091,162783,512478,25711,356583,17774,358864,200646,191386,15135,22237,1465200,255485,71950,139600,138244,98275,202857,361359,25516,18974,653855,159498,79399,46187,259633,48588,24741,23112,32941,191970,83323
"_HILp_QI1848",3149671,91345,99644,72225,253027,370941,42726,56095,55805,592167,28388,1407933,298260,1201098,121316,45649,271727,845542,46207,590059,36658,590751,348489,302592,29456,38428,2534211,445908,124370,243840,242541,175070,351030,613897,45853,37079,1115400,274359,140167,81664,438932,90644,47276,46664,58955,317891,138321
"_HILp_QI2617",135537728,4058744,4321821,3368313,11298005,15619765,1777311,2591902,2586236,24920983,1255125,58581782,12706827,51302606,5361606,2333522,12354584,36729701,2068334,25606332,1479779,26534475,13697268,13147590,1371122,1820672,104734346,18929507,5379475,10153435,10427749,7411710,14745683,25691643,2305404,1690361,46435800,11617031,6484945,3432194,18797048,4186269,2517062,1871285,2554587,13597781,6475801
"_HILp_QI2632",563031,14335,18718,11677,54810,82260,5401,15521,7719,151570,3365,323343,61174,255743,25520,13249,58060,183635,8295,124216,4202,120208,70776,64449,2984,5329,531568,99945,22497,43459,47375,35612,78046,119419,8117,4389,222783,49060,25095,15837,85790,17718,3252,4492,9642,72584,23076
"_HILp_QI9069",5897356,193503,2289600,272626,360607,21025,2240841,28928,5354222,103269,116865,23583,256621,32710,140457,791152,4555,3989,24671,59513,79615,13673,38476,358887,9407,5309,7714703,63706,2484522,2850065,80872,176349,72329,923976,795285,127575,2583616,851,50348,216587,373537,734624,39908,22173,150335,51388,163746
"_HILp_QI5027",234575,17107,7616,8026,5327,4644,15832,7224,147382,1514,987135,586600,73968,374123,143644,2608,9644,52807,16242,39245,11619,228478,44481,41146,1175,13804,1276,69945,540431,83160,39506,12934,51033,30879,41383,11892,170871,78208,42059,16003,60619,5121,76210,8495,220076,103387,896975
"_HILp_QI7253",340,3674,13980,2318107,11062,2119,34018,38686,9156,18910,76895,382,37336,20496,23937,7337,12258,9333,30736,51831,24804,7695,8731,55231,1584,2672,730,20846,10874,15111,6134,7516,487,1368253,77353,3222,215,8103,9984,1550346,38975,4517464,1134,36524,38439,3157,3864
"_HILp_QI2997",432601,28839,22845,15378,144890,107944,5495,10149,37481,165207,6254,974572,29348,533285,13747,3967,61694,79080,8566,172971,9729,85451,65348,127236,9620,2633,624926,88023,35826,107331,47747,86626,74104,239124,13424,7302,193668,42469,67911,44478,38508,40757,24246,17933,26447,24772,48306
"_HILp_QI1558",4499783,18423,4719,21591,377590,300966,12263,8541,128859,10322,10885282,31366,1829319,1920,1709324,6480,21515,2299962,14758,134842,237141,2681806,47346,44348,8973,164978,31710,231342,295932,1330146,1159775,24676,73989,46020,142480,4735,26063,29078,87847,11205,25333,500,30755,15041,630523,5727952,172101
"_HILp_QI965",17074298,29560,8403,14818,363872,126296,27905,69597,759349,48882,26152260,686692,5148214,16642,5630196,41657,51526,2931696,42714,87485,232226,9281958,1131040,35957,19332,555929,93516,1029152,320745,2132699,3862232,48251,188616,45582,825211,17414,257917,120219,105056,12061,64377,3134,124826,18835,2167288,13122644,2577862
"_HILp_QI1714",50800595,66132,9424,47176,1178672,318121,48331,125443,2258935,123409,78220294,2071199,15023156,470,16987213,133565,131006,9155024,124718,239332,723094,27432312,3421210,93330,29176,1655825,40448,3087312,974106,6416039,11678310,149686,437470,104837,2491199,28480,301159,327592,288642,12591,57525,24582,160772,40193,6557553,37827336,7512769
"_HILp_QI668",49034,33308,47649,20476,124995,120326,37399,25161,61976,166654,418,204403,128782,221627,22627,24582,137485,148214,30025,82961,18995,405008,113178,82637,18559,8583,1586892,187914,51145,85038,28790,48895,466313,80044,19422,22292,631418,42875,99289,22954,26455,4676,18054,21325,25368,110661,81740
"_HILp_QI6467",356123,57941,500140,100826,636153,336657,173225,123683,532852,254970,22442,141446,9394561,6615739,221847,227499,162864,375874,276329,200273,80333,4089698,4343296,85682,62549,127718,9221704,2920725,225195,579044,100117,186008,17354,270895,264915,38191,3400746,48289831,110944,56544,17901,42949,142509,128187,143276,176159,190539
"_HILp_QI537",27142240,247506,54404,71123,2914812,4340934,78769,74561,3485201,194818,50586210,5468559,13882888,217700,17639231,87128,208497,9446449,185130,453945,1457677,18207465,6865867,265026,27343,2745984,5304871,4851363,1447389,5737904,8638016,157756,630485,307740,5305182,100798,1704902,2647226,393849,64985,287843,99134,486034,159583,15632585,21255059,11122201
"_HILp_QI1134",4552589,36180,3862,4679,494637,759616,7417,6890,603157,28466,8425986,887742,2325014,23054,3027932,2749,23044,1598496,25769,63644,236651,2994901,1184834,37915,1177,463278,890868,817239,241569,947081,1518008,15606,90306,45343,926094,12961,284398,449401,60961,7651,41128,5269,74125,20267,2657866,3378340,1857912
"_HILp_QI561",593062,32358,19088,16790,154185,73790,38280,7020,71741,262555,329423,103566,107884,1703211,70674,3141,18595,52688,88996,21786,57042,571013,48599,24865,3198,35081,41295,87700,94976,61228,546116,16538,9943,5983,130751,9010,288172,276318,40830,31364,13289,8284,90562,35875,272070,109306,154669
"_HILp_QI1130",868567,28325,16777,15992,195456,90795,45531,8873,86255,320577,357191,229589,131642,1872984,80254,1268,26154,49637,119434,14073,66389,870004,59665,28010,1523,39181,41858,115967,118679,80499,654783,18581,2312,3015,163368,9954,347663,338542,49101,36107,13507,8650,96951,53730,274556,152474,201762
"_HILp_QI1014",398343,181858,429734,95395,984229,46599,130232,98554,327713,3674433,35919,3583889,1076962,5222783,111050,74464,508568,932249,104882,555207,146699,1591393,290179,522520,18475,21063,11290765,1272424,148717,204007,40178,447828,2501584,994761,83858,88508,1069128,139954,221773,161279,144390,228986,176320,96599,101586,634919,350269
"_HILp_QI8095",54622,57438,209253,153392,409270,16411,138384,238242,117858,414449,28234,1083871,456447,1533284,320156,40590,250853,264030,113616,450305,71388,1412743,42261,784948,1893,2376,280159,392772,274100,102557,55641,198584,578161,193093,38287,96984,77113,135705,237522,85829,20981,100866,53615,58836,132867,831972,132753
"_HILp_QI23185",380702,1681801,2380678,162262,6493093,888489428,544629,66968,16396975,74071,2670552,2907562,279448,746899,1015021,139896,255130505,299161,9444,72941,64204393,16591,12316379,101666,291359825,1331832,6047,63900,3270959,5932,197201,143427707,23556699,66183,158857,1968005,160638,59797,4626327,79251,910045,219173,1714320,858820,3488797,2497091,307233
"_HILp_QI17262",336656,131573,177255,993731,251791,21772,569528,42159221,74223,6080527,75407,2311504,23090,1479203,230893,72572615,549004,574363,198326706,31407,36105,25213142,120030,38990656,145699569,903529,1300118,138963,103864,3925149,857510,349020,48060,8859,61118,207410,14497913,99395,3048,242824,584748,26847122,87800,1635501,11866,90687,19117
"_HILp_QI14",1398808,6139,28891,18134,295922,239766,16554,3259,87414,22196,584073,223257,125072,59440,270603,1886,19843,86440,8783,9580,63100,329871,132138,20978,4012,38210,489113,318897,56446,135140,205951,18126,178994,39863,220803,4501,100777,152987,43075,38441,28002,7055,73746,29455,371942,306556,581531
"_HILp_QI21925",3946,18924,52785,6171,900,1490051,11627,7838,34348,71046,53138,12800,5722,10557,17042,3907,29627295,2885,2886,1900,80910,7,130860,5552,1123606,39965,52754,19924,82396,110118554,12662,136640711,650795,18574,4465,25371,3067,1482387,51392,6625,22,5310649,27357,56097,99869,15831,4186
"_HILp_QI17323",76671,153681,57633,53081,568203,800119771,260274,15836,1261086,17213,76478,33370,6687,137683,596005,52057,170061892,75572,108106,13316,19034358,2407,204908,16275,264260429,608939,7813935,111676,373140,65952,157236,48804278,1388457,126097,50139,39645,362850,43527,33021,199463,201276,47234,277701,391516,172487,51396,7867
"_HILp_QI23090",492198,126550,2256405,727819,1661417,289130,66186,37237052,177260,7159772,19417,13019779,429016,6385790,247228,45719147,298429,3364948,206012720,175770,157094,57608508,3653898,36577606,1285002,1659178,1358222,23351,643871,12480399,3601089,182895,164541,210759,2363,970319,20779117,33065,9397,16213,432694,637924386,18834,1124348,56229,17548,97159
"_HILp_QI17353",38999,461,12392,39340,8281,27756,23909,417604,460767,357597,1379,344,126553,21177,1624571,15188539,16347,100993,10735016,49967,79939,60380,28670,539628,72195,41350,2746314,75267,77775,12287,33206,9859,12937,28773,226,56184,225546,6350,1451,1379,2491,5795558,37319,621972,3564,1370,7014
"_HILp_QI17367",65870,564,11563,36379,4888,1001216,5973,348830,28518,242572,1834,2867,54573,28290,97391,14307447,332208,11141,6282694,10895,756058,19439,42187,432291,150186,72338,194223,2767,138155,7081,120999,190539,10540,45048,518,38369,251680,1627,1112,344,2323,462107,5900,27637,11724,3768,5687
"_HILp_QI16264",2379,2412,5209,3870,14795,109165,926,1212267,387868,3674,4210,1795,2020,8983,6885,81432,3890457,3985,4112,1947,8573,3264,244724,18552,162761,6693,10411,3850,36085,59682,6316,28592442,13750,10215,4020,10869,6233,46383,2278,5104,512,27669,2457,945,1016,10224,8225
"dodecanoate_C18n_QI15",629163,75896,292541,6868778,372125,192548,602183,21795727,1297191,249029,4309010,5995645,335218,4156334,396556,44357834,179681,187425,381300,353381,274243,298465,807035,273011,195720,229192,1844044,2810866,609466,1086832,791650,312912,297453,14848107,62747054,281327,641279,906129,1448494,36950069,79814,29144057,163878,358663,294819,795038,1886417
"salicylate_C18n_QI66",95183,260013,93534,334427,215338,99314,40731,92173,273096,40153,42834,91882,35919,119039,32454,18358,18430,447011,28413,20681,30420,14450,26081,82639,16567,35765,44884,237301,30047,24769,44243,60237,87606,27144,111497,32509,31935,168069,28135,32301,164736,33117,27130,27125,244650,13673,389470
"_C18n_QI214",13390672,8046718,1698214,2807545,13067159,43795,1649181,2182300,3466778,122567,37612,2090,46896,9603,37010,46407,40384,16989206,77867,49913,35142,32608,37716,2803611,55276,46700,17338,9045700,42921,82998,57371,43281,158519,56192,54379,59528,25197,5632702,34480,74551,171308,148797,54328,106209,139995,33127,43390
"_C18n_QI1346",570866,379347,1604624,1041755,3373801,4843,513263,241507,1165591,248573,13551,95640,255748,1343965,129140,100916,51566,4288706,176933,106795,69228,123526,21935,1103203,40890,228796,3866307,4151435,222671,45696,207263,734966,231163,333536,246205,117112,853045,426747,369164,13332,349818,7281,317519,260660,14116,407550,62908
"_C18n_QI2583",4730645,3915612,302834,585052,3137006,33678,158759,519111,758580,268485,18418,48783,43539,75360,26241,32123,61627,2901431,32717,26964,25241,23836,92613,926897,50093,75005,3990,2210321,30242,147306,27476,93059,244108,7184,47278,34238,101470,2298488,53489,31620,196268,27323,34667,65029,37507,29591,21232
"_C18n_QI5624",2820439,8933,66335,1744,954782,77836,18197,34877,548551,33116,53477,2009,385118,47086,170906,11137,12966,123963,6612,4402,18692,21202,310575,16300,14050,34017,59931,580086,60008,55037,1065,7488,26773,48140,174265,2816,141136,273692,6657,15169,8492,11748,23001,1951,90980,5340,1568788
"_C18n_QI4036",2024,9582,169718,8114,923,3616,50583,785120,140933,110772,8030,1102,303713,79477,15809,61724,107457,10589,76741,45044,10273,711,239,24518,22065,133183,88,14341,186219,2733,8897,69565,198822,50938,134383,71679,68517,720,2060650,12970,180778,265456,460190,139402,7720,53749,42288
"_C18n_QI1081",669869,451690,217177,255694,668239,16541,420622,456705,635960,1333,5531,7389,6449,311,13400,15819,11513,605485,15247,7221,11239,3621,42281,240820,7348,5524,53910,1026229,4048,4562,39804,6476,4060,8871,28029,7440,14549,806254,9977,9105,15085,6985,9179,11732,4894,6898,24770
"_C18n_QI612",29451,209523,59446,75752,14895,98353,154694,143501,2764083,35714019,30914,3731,36473,52397,83473,3540994,303112,21048,207944,1279526,19431,53980,15269,1472161,197771,63683,591703,12870,65023,2507876,83773,106915,618238,23970,258097,110210,8767,22407,130780,199543,292541,244451,71595,46033,51596,25947,29349
"_C18n_QI3611",74668,14626,18646,7005,14563,1657,20724,7473,12484,145,4786,20441,4828,16137,12097,14342,8305,174985,4089,2156,2353,9398,2459,19246,3394,2402,6316,69852,3191,2521,1127,3680,1147,1710,7048,2619,43060,8898,7828,3383,15292,8733,2669,10050,6176,2485,2873
"_C18n_QI663",776304,496246,977373,2907965,350356,14869,2255026,1258240,832545,7547,13216,5397,10910,19521,26750,7977,6000,302048,11978,7190,14573,2471,1979,1650354,7820,33211,19888,478942,16629,14917,15193,21158,156051,5677,13608,11383,10112,1785199,3270,19926,4235,16968,7025,12829,19817,1596,19689
"_C18n_QI709",31226271,20007815,12715307,33451484,25471651,10168,36840379,11937179,27748456,20124,22033,190292,13335,33847,88023,56238,11295,36328033,14101,15025,13149,164238,1308786,28854293,56605,42432,32847,40651443,11936,14900,13774,10552,157128,17561,22130,33994,24626,19172698,6811,20522,28731,18098,12600,17352,19331,24091,13915
"_C18n_QI722",131327,78788,51463,105911,118972,1009,127360,41010,96591,45430,12033,7607,7268,48502,10572,700,5931,149210,5229,21619,11248,16701,672,101504,42,915,156101,154648,11969,24008,6628,5092,33850,10541,278,7097,30,68645,1181,13122,47585,13886,15776,7854,13398,15161,17
"_C18n_QI1325",185725086,121837981,75551348,198657113,155551753,30746,223938044,70373158,156676869,25204,33869,27494,67518,205090,101319,36758,11417,212253917,44691,19066,42974,188157,5874,170815085,16411,204067,219569,235488056,38066,48264,81387,50524,798267,48979,78456,150130,90285,116699885,24195,39000,54499,41763,55664,52212,43011,25278,37934
"_C18n_QI382",24145,39339,14297,19351,33223,3752,16203,17644,26599,3319,2403,1458,3828,34035,3829,246,44,28114,971,68,3863,8557,3162,20494,428,1567,2018,26485,2791,1084,500,366,24131,229,2095,523,8349,23732,151,617,2916,806,847,1628,5838,461,8021
"_C18n_QI711",6591,5379,2701,6432,5652,446,8553,2136,5769,1071,681,1751,504,2523,1555,1218,411,13083,729,1384,417,625,4285,5926,879,815,3273,10917,579,870,740,547,3157,150,446,2495,319,2626,59,767,700,710,377,1030,2307,433,1063
