"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_C18n_QI75",2086128,368669,150267,319679,460579,1219963,459639,953613,336618,32334,28711,8515641,1455978,19649566,8155299,25453,135419,1314792,75782,157163,113685,2225679,933771,10331869,122651,1155085,17583190,148388,2024055,1390832,926247,78217,8309814,262033,440326,49909,631942,484536,22525,283405,16295,13350,269400,162746,1292960,1587626,14121198
"_C18n_QI11691",65864,13802,5337,13127,15226,15779,13365,2939,18438,1762,667,252212,23882,1595957,109478,5,1708,4494,3326,4005,7452,24890,17681,552168,5232,9135,306770,12656,54875,7912,12766,11374,48513,7022,1369,3072,37283,7495,7186,4730,3780,56,22307,6545,17879,27236,81657
"_C18n_QI9069",364313,33658,18460,68780,69729,182279,121080,189519,22477,15619,35271,1730710,65031,18266917,1433829,16236,78481,8890,9054,40837,43852,96593,88075,2585072,5389,87638,1376598,49537,293787,109679,50922,25678,409023,21542,60957,11718,31966,33627,8105,11759,2579,30852,25575,56274,134625,277866,653341
"_C18n_QI8993",2762769,1016058,276860,770544,1557128,1068772,1637842,2123770,882705,81706,1373247,35838879,2623688,204712863,13588125,1207531,2522423,702732,853311,1006929,2491870,1851352,1364278,29093898,344093,1918683,15849998,914153,4414186,2138993,1323206,1158404,7183990,909643,3129929,394060,381041,664614,331317,1042604,648,2420566,1082065,1490433,3149590,3897439,10472981
"_C18n_QI4556",13997,186187,4910,6206,15813,8376,10948,32352,27037,83789,24553,28237,50168,36024,36712,213,1078,232859,4977,14508,42487,119246,10363,47972,19163,4724,8966,3254,7719,9323,10055,6202,431209,10803,1131051,6764,1352,4066116,9635,92698,232158,658584,865401,2092731,31731,18409,11085
"_C18n_QI11582",30146,66412,7234,4386,20472,96149,44145,32069,26977,120,35735,531744,99540,2300104,522768,5686,35969,26154,42286,9446,2369,84546,60623,565110,23661,100322,978060,58923,153680,84927,47196,10185,281150,31381,11607,9173,11321,28883,11425,30251,112,2127,45663,42222,41217,181885,281918
"_C18n_QI11627",708320,172696,71616,174052,226079,377025,217175,777304,66152,6640,45502,9963564,976992,34968038,7306325,2551,105504,345421,13022,79481,24442,982931,250339,8658960,38994,372234,6583415,211043,1246613,426696,376237,31059,3571657,316767,121629,25818,78633,155126,30025,105803,3169,13840,67121,116057,932338,1395384,6531572
"_C18n_QI11690",80105,78344,41283,126992,88130,328660,51740,46243,48641,4531,24202,501038,147158,5837867,517436,5805,40980,31634,14549,16167,48343,61289,103226,1483027,22575,59290,1414756,98256,219102,61928,72392,40296,222084,20207,81510,15307,133833,58764,25037,49752,2728,14585,100708,94710,146886,80729,811002
"_C18n_QI8138",89632709,45334834,3517047,5128147,25028062,106430,18250967,9115026,8413378,62870,52365,190998,244647,809705,74942,51610,107527,74472125,52199,65846,14052,163621,55354,1178808,48758,67563,57960,14270041,69486,24105,112902,56042,543300,85426,87782,90526,37283,6171679,69035,40953,49179,16540,31206,189931,173286,88978,43168
"_C18n_QI8079",19066088,16028031,969494,1725611,2808718,286369,1791908,1622785,1904793,447186,4710926,77693,845941,40144,181701,938530,784080,8071143,294667,624705,59046,3578223,121715,532402,691450,181308,154064,1727581,284510,234760,299976,186401,269568,1788248,62884,641842,186315,1095891,578172,89548,181459,375724,341692,240315,570729,195102,66083
