"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_HILp_QI24672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15179,NA,NA,17280449,NA,NA,NA,NA,NA,NA,NA,16374048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI25494",2691,12381,15488,NA,NA,NA,NA,672,NA,NA,NA,598906,77095,NA,NA,665,2737,6442,NA,2449,NA,121017,NA,NA,30451,NA,NA,NA,NA,NA,23445,NA,NA,NA,NA,1655,NA,NA,NA,NA,2853,78831
"_C18n_QI9009",15981,85668,NA,24260,9662,NA,24112,82815,37485,22415,24982,2318,22966,4535,68053,274970,57497,147606,10826,NA,43016,116432,30578,56864,24349,18085,4195,67102,1801,77877,72399,31889,NA,78007,23024,98080,98377,21492,7395,26153,173167,409
"_C8p_QI26576",NA,NA,NA,2003,NA,NA,NA,43979,NA,NA,NA,NA,NA,NA,NA,25354,NA,NA,NA,NA,NA,22525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI6365",NA,11080,2281,9702,NA,NA,9918,NA,1463,7692,NA,46092,49640,11409,11649,6959,9563,1614,11010,6674,13237,27234,2331,9768,107545,28603,39366,24090,848,8963,NA,8067,NA,16495,11096,9294,12769,1542,15844,7856,6243,NA
"_HILp_QI22489",619314,50405,9464,72183,NA,NA,309508,78542,90444,864,7406,25490,411367,384770,14210,9293,546962,NA,3098,13675,2855,70680,285193,267560,NA,12286,2005575,741,78533,NA,1888062,194652,2568,897,NA,183210,1932,1638,150994,NA,3632,15088
"_C8p_QI22605",NA,NA,NA,18283,NA,NA,NA,1051,104036,15193,NA,NA,NA,11811,1572,NA,18733,NA,NA,NA,624,5163,13469,3881,9348,NA,NA,1047,NA,4229,NA,16,6482,NA,NA,NA,NA,NA,NA,NA,2626,NA
"_HILp_QI6373",26595,21029,6498,16753,2618,13678,6446,19646,410,116339,NA,NA,NA,12340,32282,2261,21472,54719,324,11294,6,25547,15230,NA,NA,22193,1743,8283,30587,13618,1694,8139,1287,39,6793,21214,9627,31428,7368,3126,14370,319
"_HILp_QI4930",NA,6074,1069,6849,9428,2752,7917,2379,12129,13808,NA,4931,10820,5206,5276,3254,12014,17763,19593,350,16234,4037,4451,14931,7046,8317,15275,12964,9989,18761,7328,11415,9770,12036,5305,12296,9979,8307,11853,11260,8364,17722
"_C18n_QI5247",670,NA,177,254602,4158,NA,NA,17,574,1229,NA,15775,71,99,NA,NA,NA,NA,448,NA,NA,NA,NA,114,15084,NA,117,78,NA,67174,NA,NA,49699,NA,250,46893,NA,40685,77,1564,80,18533
"_C18n_QI1947",5226,117658,53865,70126,8095,5648,70290,32867,23250,42187,32401,35929,118869,34361,NA,44325,21974,50868,47135,14007,20983,47223,136517,21600,156425,52168,29242,36418,14725,36802,59801,56714,11549,25441,34800,1981,204230,433,82837,70961,66941,31834
"_HILp_QI10575",25727,258652,772451,258888,68053,6364089,828128,906781,2215156,479923,4526041,9267,562690,7527829,2106719,84340,774189,623191,1487946,4464346,14922935,306027,3310675,2914466,13082,1343438,1940345,578655,460591,619717,1160234,5817243,694814,517719,3780123,623729,407725,667162,3226125,464263,1199149,14566346
"_C8p_QI18132",NA,NA,NA,NA,NA,NA,NA,NA,NA,2760,NA,NA,NA,798,NA,NA,4518,NA,NA,NA,NA,6452,8411,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI7033",2849,476672,330840,111008,47487,248719,31868,141749,44331,624370,93564,86938,106507,47667,306577,110349,87282,79493,63171,662176,28715,148962,164593,36074,129186,266384,58992,383472,345326,170249,57066,258082,50548,40272,198381,158398,113086,885960,133240,7789,344244,95658
"_HILn_QI23878",914818,677635,1315917,32252,629877,311313,328042,18349,1273960,146134,810189,44166,2914081,1163965,2262507,354283,410098,1775096,334860,1486323,785357,233931,1773863,264407,105692,302856,385905,503450,335393,59582,65745,611658,96521,136275,398647,2373,133250,72589,387829,1316839,314548,286132
"_C8p_QI16377",NA,NA,NA,NA,NA,4510,NA,456,NA,NA,NA,NA,NA,NA,NA,12958,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3598,NA,1383,NA,NA,11115,NA,NA,NA,NA,NA,NA
"_C8p_QI14164",3431,NA,NA,37509,NA,NA,NA,169856,NA,18356,1164,NA,244,6377,NA,NA,3869,4653,NA,NA,1456,178121,3704,NA,NA,NA,NA,13200,NA,31794,NA,NA,6601,NA,NA,127091,1923,853013,5084,NA,NA,NA
"_HILp_QI7882",NA,NA,NA,NA,NA,NA,1274,295,NA,6359,29,28477,NA,NA,1573,NA,NA,3351,NA,701,NA,2629,NA,NA,2584,855,NA,8056,246,NA,2412,NA,NA,148,2730,NA,NA,NA,2716,1279,31113,2957
"_HILn_QI6183",314,9494,40431,4699,10637,NA,2561,233,1480,7856,27411,NA,93128,194,10018,17709,6112,6015,9493,1362,2803,234,303,1055,128,2501,361,8831,11979,6001,29521,13164,NA,88,50643,NA,27962,NA,18256,151289,8323,NA
"_HILn_QI14470",1216,NA,NA,NA,NA,16800,NA,NA,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,NA,NA,3675,NA,NA,7161,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,NA
"_HILp_QI12831",798800,459709,850452,473773,761034,1166759,420774,211613,471187,3364780,2074007,38371,426756,393603,394012,137288,340871,483442,3286193,360390,902868,137260,846054,381238,66561,462511,966936,551569,800451,664061,244619,716491,420566,280706,903921,541144,113543,952424,3831868,1286863,222066,901036
"_HILn_QI8682",NA,16032,NA,102,NA,NA,NA,NA,NA,NA,48134,NA,NA,NA,NA,NA,257,363,44,67,NA,NA,195,2159,NA,NA,NA,NA,NA,129,NA,2787,NA,NA,282,26,1560,440,NA,178984,NA,NA
"_HILp_QI15510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
"_C8p_QI28981",NA,NA,NA,1711,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,NA,904,230684,NA,746,NA,NA,NA,NA,4865,NA,NA,NA,NA,NA,6004,NA,NA,NA,NA,NA,NA,1072
