"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_HILp_QI2787",190900,210214,582186,208533,1792864,94813,561896,196906,7008323,400958,117848,181901,84378,60465,296963,177306,324324,265935,499533,206653,42383,403339,309717,110235,145733,384218,246683,160763,254702,573231,430532,194032,1104185,124042,252138,355120,790520,99315,587184,601600,229050,3726472
"_C18n_QI2132",21564,42590,89604,35024,22132,27072,11007,45652,103055,65267,42679,1157,78674,31682,10293,29785,38990,66468,21162,15157,19955,19698,24615,44603,8083,344680,16441,15243,107858,70370,55272,318480,48557,17546,86880,24703,25163,27320,84392,13240,16287,27166
"_HILn_QI12458",26603,1093,68870,4555,91817,1595,1293,16893,11496,55746,21382,1284,9613,6125,7788,10153,3432,19387,14615,21385,1082,7321,5536,20507,NA,12714,2306,24801,16514,4430,NA,199,2145,7755,2736,20366,657,1012,17545,14984,16631,1893
"_HILp_QI24841",48855,105572,168031,232385,338606,241112,119758,11749,254106,142734,86971,96789,338607,177956,229740,115769,123836,36454,109358,467739,542016,90083,68398,344320,385615,439844,309188,151101,134775,23605,123018,197744,213803,274930,294565,266370,6515,179729,311154,360487,96637,59498
"_HILp_QI1115",31314,8088,5160,4119,8277,8759,1519,2063,4988,16211,4254,18182,6220,2339,6110,19617,2587,13530,3839,27453,8401,10352,1993,3122,95840,9923,8286,20990,22559,21481,1909,3348,14881,4262,6238,5065,22291,3694,5486,2652,16663,5381
"_C18n_QI2757",126376,NA,3416,NA,129,2590,NA,NA,6782,NA,2812,346227,NA,7164,NA,NA,70,370,NA,1329,68823,NA,NA,223,413793,10604,112,789,NA,NA,7415,NA,185510,NA,NA,47,NA,NA,NA,NA,NA,3877
"_HILn_QI9774",671,513,NA,144,776,NA,200,NA,125,20816,1985,4275,105,4207,72,207,2151,16,4243,NA,2286,1092,7156,503,2380,881,1894,1224,175,292,8980,1702,796,16426,2206,1467,26,1450,31956,1512,654,6587
"_C8p_QI11300",NA,11851,NA,756,NA,NA,24317,72924,NA,8459,NA,NA,NA,57148,NA,5784,229,29,NA,NA,NA,15533,NA,3451,NA,564,106,2137,NA,246,3446,451,NA,13905,298690,9830,27724,55378,NA,854,191,NA
"_HILp_QI4488",NA,77,1701,928,179,NA,NA,63,NA,631,78,NA,116,100,2552,69,224,106,74,169,NA,662,NA,70,NA,103,125,NA,220,247,767,186,NA,51,NA,127467,62,455,50755,182,73,14
"_HILp_QI25040",8569,3203283,1987403,2383294,965932,NA,NA,998651,983840,NA,NA,NA,NA,26691,NA,585246,NA,1747,NA,NA,NA,1392694,NA,NA,NA,NA,NA,NA,NA,NA,NA,2166,NA,2075113,NA,NA,NA,NA,NA,NA,1872,NA
"_HILn_QI1998",NA,NA,NA,NA,2495,2686,NA,2858,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3284,NA,NA,NA,NA,NA,NA,NA,NA,116990,NA,NA,NA,NA,3564,NA,830,NA,36571,NA,53092
"_HILp_QI15401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1722,NA,197,615,NA,NA,NA,NA,NA,NA,NA,80428,NA,13370,NA,NA,NA,1446,NA,74171,NA,NA,NA,NA,NA,1457,220,231,NA,NA
"_C8p_QI26799",NA,NA,NA,NA,NA,NA,NA,21145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1546,NA,24407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI21531",91482,67830,86986,1903964,280702,250494,277416,456403,500612,138618,716874,NA,492687,607708,1872616,1933574,1056374,2170898,148192,298581,273108,575150,412154,435074,27171,1857252,206563,1438371,16696,775443,535575,3488739,43133,1104089,751069,486946,136233,1286876,527321,656918,909493,3229
"_HILp_QI19504",NA,21576,477315,NA,NA,78,NA,NA,7057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5968,7542,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI1694",NA,NA,NA,NA,NA,NA,194,NA,NA,NA,11818,NA,NA,NA,NA,NA,NA,NA,1534,NA,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,12818,1066,NA,NA,654,NA,NA,NA,10298,1055,NA,2921
"_C18n_QI11365",41127,NA,NA,NA,6514,NA,NA,NA,18655,NA,NA,NA,14411,204808,180886,518,351518,21867,NA,9844,NA,50591,9117,170896,42688,222545,77464,2168,NA,8689,NA,45732,NA,NA,614,NA,NA,34652,NA,NA,519,64062
"_HILp_QI8662",22324,7367,32395,13360,25937,350934,3192,NA,NA,4873,5708,33596,NA,NA,NA,NA,NA,3574,5213,NA,454724,NA,NA,6316,157602,28343,726756,20836,26400,12882,20043,NA,338979,NA,9107,7405,8030,NA,NA,179502,NA,50690
"_HILn_QI911",NA,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI2627",403,1943,11164,113,15072,4128,3283,3634,32477,NA,918,96,4739,NA,9456,10884,3164,49748,2048,713,8272,NA,3689,22268,NA,10182,6049,21541,2505,35890,4164,23515,NA,956,40950,3601,8434,2076,6671,11865,22539,938
"_HILn_QI23993",139291,163079,317893,144493,1085107,288907,86811,63235,89408,213633,210104,13450,128948,105867,205819,181778,111297,259404,102525,368754,182020,39192,88947,227285,119402,395733,302134,310703,96188,178028,79160,114052,97886,52213,152790,115191,517601,56087,130903,208154,243729,24374
"_C8p_QI27586",NA,1770,21558,113696,NA,NA,NA,23496,8704,NA,249,931,9461,4786,1733,51007,NA,25513,NA,NA,NA,61994,22720,45308,NA,NA,NA,22429,NA,NA,NA,NA,8346,NA,NA,5271,55726,NA,3676,1449,13120,NA
"_C18n_QI12795",NA,10,1265,1735,NA,NA,NA,273,107828,480,NA,3137,839,NA,NA,NA,75,89,586,NA,NA,81,10,NA,NA,NA,91,913,NA,161,43980,NA,NA,NA,NA,99,370,168,94,9,15,232
"_C18n_QI11631",1944055,4604228,218792,405107,245059,44231,784496,54284,442155,117362,2067103,1898818,429725,689825,322445,118290,717430,120349,182768,897906,2258578,46807,205076,195668,3428052,1329665,3106118,621448,5298,487029,2521318,56261,697662,1413916,458973,369846,49777,291706,188496,1885131,102248,593280
"_HILn_QI13481",3655,4348,NA,NA,16449,NA,NA,NA,NA,2450,NA,NA,1028,8493,2650,50391,3958,NA,3683,25029,NA,NA,6719,NA,NA,2887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51821,49021,816
"_HILn_QI8788",NA,NA,1578,98,NA,NA,16025,605,115,NA,171,NA,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,371,71,NA,NA,NA,NA,NA,2487,2609,NA,NA,NA,NA
"_HILp_QI18886",NA,NA,NA,19185192,NA,30061,1889,NA,NA,NA,NA,NA,NA,NA,NA,37084,NA,NA,9134,NA,NA,NA,105072,197559,NA,NA,NA,NA,8529,12239827,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA
"_HILn_QI20557",NA,297,49,NA,35,NA,6,NA,NA,NA,NA,NA,78,NA,NA,NA,29,66,12078,NA,NA,NA,531,NA,126,NA,54,128,NA,NA,NA,46,6419,575,NA,NA,NA,NA,111,10632,NA,NA
"_HILn_QI11678",NA,1368,NA,NA,402744,NA,NA,75080745,166,NA,NA,NA,11695,12739782,349,101839,555,NA,69399,1003,NA,17798141,NA,14402,NA,NA,NA,14489945,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,48365943,NA
"_HILp_QI3679",605750,311498,337970,430396,659493,1019591,338029,87344,470270,315802,758055,129942,189161,85085,68919,226133,60364,540,275846,129023,308538,58880,184674,244317,208367,168767,340394,193162,1279255,112948,335738,131188,172367,348963,296897,282755,146112,99015,638020,452909,75535,1075780
"_HILp_QI4723",26004,159702,424658,73897,58312,1406968,74329,30884,136876,72468,3971962,17069,228844,113765,375123,35393,180087,392034,347461,79504,153537,43741,165643,110420,2956,447702,689729,368699,70313,382154,192881,329700,55003,124680,1154205,101788,539,134252,85749,546932,109724,192771
"_HILp_QI19756",81516,92749,1237,3093,NA,NA,2850,NA,78405,170,3671,7,NA,NA,4256,NA,1419,NA,1984,10118,362728,75,NA,16799,NA,1469,66,NA,NA,NA,NA,839,NA,31286,3433,1946,NA,NA,NA,NA,NA,NA
"_HILn_QI22706",7,134,96,720,NA,5113,NA,NA,NA,66,5,NA,4278,NA,NA,232,2966,95,NA,NA,NA,NA,NA,370,NA,17,7332,122,NA,NA,308,220426,139,NA,NA,279,4983,NA,NA,NA,NA,NA
"_C8p_QI10605",341,52147,9373,2083,424,369,10041,1892,29230,4846,938,245,12906,NA,2250,36208,6259,8740,NA,2168,26025,1841,613,28247,1263,20117,50498,22573,NA,27788,7708,18256,92,17507,9459,13707,84743,26100,19964,122066,13167,28371
"_HILn_QI9600",NA,722,NA,NA,11405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10309,NA,NA,NA,NA,NA,NA,5026,NA,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,5837,NA,NA,NA,2802
"_HILp_QI16005",NA,NA,NA,NA,NA,61320,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611,NA,NA,1512,NA,NA,NA,NA,NA,NA
"_HILn_QI3027",54,53087,99,1413853,32433,NA,NA,NA,11377,30491,429,67117,21,2324,844,745,186041,35476,NA,249821,150,NA,56,2131,623767,193414,4898,88431,920,291345,120735,1589,407584,4515,130,100214,8537030,1286152,15,120,17728,1020863
"_C8p_QI23081",1012,NA,NA,NA,NA,302,NA,1644051,NA,5978129,NA,344324,NA,3984109,NA,NA,1942864,NA,NA,519518,NA,2114996,2809612,NA,172689,NA,NA,2908,NA,NA,535,NA,3366332,NA,NA,NA,NA,33986,480,NA,NA,NA
"_C8p_QI28307",NA,NA,NA,29064,NA,1032,NA,3336244,NA,11411845,NA,110072,NA,2792352,8322,NA,2821525,24750,2104,1334214,53844,2919521,3483645,5150,1197661,NA,1754,43135,8897,NA,NA,NA,6823660,360,NA,NA,NA,570703,NA,2633,4743,NA
"_C8p_QI20351",2869185,213921,309326,5695057,2672911,556596,1206861,156442,56551,41426,5299089,623633,515419,92367,103403,27483,120650,936,303170,10568,316625,84519,14830,2802669,100999,3434904,825508,357025,NA,28031,3155,783475,1279271,2321942,1074419,148053,67080,25623,5744521,205010,20999,48589
"_C8p_QI15400",384,NA,NA,38353,NA,NA,480,1516023,NA,4854795,NA,7787,NA,1534464,18002,221,1488049,8871,NA,377351,24342,1678521,1549450,59736,685380,NA,NA,13587,NA,NA,NA,230,2071149,NA,NA,NA,38223,433229,370,NA,957,NA
"_HILp_QI14430",144513,644630,4134,215741,4022,NA,103208,26900767,1228,2710603,NA,3690779,NA,7836756,109894,108250,96165619,611548,NA,54739661,NA,14065876,6127483,281933,458644,11206366,1633128,74714,487931,1464,NA,NA,6952831,2564,199,NA,1270339,102510,447765,NA,1249,NA
"_HILn_QI5330",NA,NA,48556,NA,2891,109,254,196,4936,159,3517,88167,5400,NA,416,14844,3120,121,481,38953,NA,NA,141,134505,NA,315,577,4379,NA,187,546,125,10691,55565,10972,NA,20638,188,142,7396,1905,112082
"_HILn_QI25679",24435,115367,88675,314770,88948,4264,22028,70536,74277,37802,252638,NA,71115,317407,217199,103126,172837,292776,108425,187405,73055,109848,164504,130082,1162,96616,109112,169102,25563,56070,49515,142244,47627,18655,84845,18656,17004,21495,33759,77931,66663,8705
"_C8p_QI6089",95492,44477,288764,25246,64535,151869,23346,317116,54221,6254,55862,240243,216249,22014,66793,126699,26535,18620,33572,225656,26977,50629,24798,46606,46227,50001,71202,34756,19695,19374,19208,41804,42230,12685,44904,50290,5599,2877,15782,61038,122364,33885
"_HILn_QI1669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117005,374034,185808,NA,3896,NA,NA,NA,NA,1573,NA,39213,NA,32474,NA,NA,NA,89979,NA,NA,NA,47,NA,33029,NA,NA,NA,NA
"_C8p_QI3461",55834,165507,67769,95084,53714,37343,197500,25719,66920,27040,48027,1662,248772,7311,298444,47679,40901,43302,141557,405453,162685,45295,106580,142239,2276,163944,210156,167477,62603,31762,5475,130441,297,53663,123822,28585,62712,33180,86561,161647,160936,40764
"_HILn_QI16255",NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,55,74913,44039,702,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,365,NA,NA,165,NA,NA
"_HILp_QI13326",NA,12009,NA,7429,NA,NA,42788,40987,36271,33477,NA,7779,42109,20540,31234,68591,63745,217728,276010,16351,116521,93318,46205,124796,2676,15127,91318,57794,16456,195190,45847,43924,38478,57503,41880,41784,2887,4913,15843,45169,101141,21038
"_C18n_QI11132",NA,12185,4417,1913,NA,NA,20174,8466,15080,2942,787,NA,10019,25448,57977,36941,56826,28949,33346,5005,39675,6618,43246,49004,NA,3865,76435,29942,1731,58781,21692,36887,6804,9945,29521,55189,7485,28451,NA,1220,42844,NA
"_HILp_QI21035",3513,13,9580,325,NA,NA,24126,NA,2803,854,851,8270,397,NA,NA,723,NA,821,NA,NA,NA,NA,NA,405456,472,NA,1740,NA,NA,173,NA,521577,NA,NA,3061,NA,NA,NA,NA,399,2270,NA
"_C18n_QI7180",2117967,871035,46322,125078,50920,NA,63506,36288,50187,60,10137,NA,21125,73852,23908,2352206,1661,43842,42115,2529,1352,4382,2459,62755,20101,4978,26630,51356,NA,46988,2835,2316,9441,113923,2674,6240,10276,7346,627,2379,11349,2159
"_C8p_QI17359",NA,NA,NA,1029,NA,NA,NA,126798,NA,66497,NA,NA,NA,11485,NA,NA,40239,NA,NA,10510035,NA,40250,38956,18489,10529,NA,NA,NA,NA,NA,NA,NA,12994,NA,NA,NA,3973,15240,NA,NA,NA,NA
"_HILp_QI1175",45599,115929,134237,79726,64600,358393,135327,68503,142049,103718,835452,72462,174655,67811,186293,69541,129961,186380,323396,31182,163389,68480,97933,111148,87828,141654,274184,137352,133344,193221,138539,167093,71483,233497,245727,125143,67463,118218,147428,195471,96923,260444
"_HILn_QI863",NA,NA,458,20237,82446,410,98,NA,NA,145302,NA,NA,47523,NA,69842,2311,13678,109792,674,NA,NA,NA,400670,NA,311079,NA,NA,16372,NA,NA,NA,83190,167890,1108,126012,11000,NA,991,NA,NA,2180,NA
"_HILp_QI18510",NA,336,9139,NA,NA,NA,1961,NA,3501,NA,16,181,NA,NA,NA,NA,NA,74,315977,1109,15195,55059,NA,NA,3181,NA,29,NA,NA,NA,NA,NA,NA,347,98,22430,NA,NA,1227,NA,NA,2468
"_HILn_QI5692",NA,NA,2469,NA,1047,3332,NA,NA,NA,5329,NA,1588,2198,NA,NA,NA,1933,4716,146,NA,NA,NA,NA,1122,24030,NA,NA,NA,NA,NA,NA,NA,683,NA,NA,449,7536,NA,NA,NA,NA,NA
"_HILp_QI6745",1066,2871,6612,156,306,NA,6184,252,3046,2336,NA,12014,NA,8,892,7398,NA,234,818,21,32,238,981,NA,3583,80,NA,1402,6069,341,283,197,NA,2507,2049,1080,3509,577,14169,6,404,724
"_HILn_QI21162",8,NA,15,5,NA,11,NA,1482,NA,NA,105,NA,21,238,NA,NA,52,NA,42,NA,NA,NA,13,NA,143,11,10,26,NA,NA,8,20,6,NA,9,188,NA,NA,NA,NA,21,9
"_HILp_QI7216",NA,NA,NA,3626,NA,NA,617,NA,NA,5600,NA,NA,NA,NA,9695,NA,NA,NA,955,NA,NA,NA,NA,NA,NA,640,99228,25100,4582,NA,7385,842,NA,2152,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI22667",520231,3767,95654,343192,699888,109466,106561,207,903,3066,19353,NA,3234,810,1014,290,941,24964,2363,2489,NA,NA,10501,1604,NA,NA,4463,NA,NA,NA,52119,4017,79265,1952,4506,8771,NA,29,34034,NA,47673,2609
"_C18n_QI5618",5529,6831,8821,8055,771,18163,857,6901,4879,NA,41770,NA,2978,NA,NA,NA,NA,NA,1159,NA,257,2699,NA,2025,NA,2224,5052,1840,NA,1506,8085,2576,NA,NA,5046,7228,NA,8927,13598,23011,394,20852
"_HILn_QI12697",NA,206,14924,NA,NA,NA,NA,59070,NA,NA,NA,NA,NA,NA,280,57,NA,6392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3142,NA,11984,NA,3501,NA,NA
"_HILn_QI16885",15756,40858,41050,88880,61174,35084,25715,62652,37414,75163,248062,19788,49513,98689,54889,8786,48797,42152,41652,46536,34176,39748,85061,27412,31190,45757,96400,162543,13908,196147,138130,58864,21281,23221,177502,223845,6787,168415,40332,63825,28397,28477
"_C8p_QI22538",3761,NA,NA,676,NA,NA,17500,148800,730,2198,25077,NA,1193,834,15579,NA,NA,26614,43540,240,98346,54343,8691,21224,NA,6253,36347,7316,NA,47010,43302,6035,10249,16911,607,1228457,267189,135741,5461,NA,1290,NA
"_C18n_QI12894",NA,2063,NA,4878,NA,12853,9329,NA,NA,1617,28268,NA,117501,3884,NA,3819,1865,1007,96618,NA,10148,NA,55841,3317,NA,11312,30503,NA,4436,NA,26055,103797,NA,35845,NA,9069,NA,1253,137412,NA,16252,27752
"_HILn_QI6849",5929,3396,39544,NA,82878,11707,1423,7309,4869,9488,343,74888,NA,288,341,23695,124,10470,2516,10700,342,8341,NA,559,8902,2373,285,2201,2211,12291,NA,2591,NA,NA,1018,2003,8323,4751,659,9314,10997,3659
"_C18n_QI3065",16811,79857,11164,12546,29278,NA,53612,18996,147278,67,NA,1154,32,197,48,36540,70,NA,NA,168,32,5657,27,31,NA,44,19,NA,NA,NA,231,NA,NA,4105,NA,27,NA,NA,NA,33,NA,230
"_HILn_QI18487",NA,NA,NA,1804,NA,NA,349468,NA,NA,NA,NA,NA,NA,NA,3975,NA,3233,3016,3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,3379,17769,NA,NA,2796,5775,37990249,2872,NA,NA,NA,NA
"_HILn_QI4095",NA,178,460,5,9126,1759,14063,NA,32,4600,NA,21674,NA,NA,27984,11918,NA,8176,NA,3117,NA,122,1992,733,7369,741,NA,93,6205,5430,NA,NA,2117,NA,901,NA,8919,NA,NA,NA,2964,NA
"_C8p_QI20831",3780,1899,1053,7505,1223,639,4567,674,107,NA,4028,51204,10471,4674,39724,830,8676,5,1252,51922,1058,2618,737,2972,1861,1928,2640,6745,NA,440,3785,6927,180,846,806,321,NA,33071,4618,281,81042,11011
"_HILp_QI1696",213,652,809,730,48,NA,1008,439,NA,NA,1175,191,629,77,NA,192,537,655,3762,NA,NA,139,NA,244,NA,318,1149,745,77,1967,504,618,NA,NA,NA,1154,3846,1115,NA,264,188,NA
"_C8p_QI12692",NA,4676,121,NA,NA,NA,64447,NA,12688,NA,673,NA,2619,2174,1399,14524,15485,149088,19422,NA,NA,NA,NA,100702,NA,82322,91826,94,NA,12009,NA,395,NA,264408,NA,NA,NA,308,NA,2480,NA,NA
"_C8p_QI12133",10209,10364,3910,8,NA,NA,4753,10629,64033,NA,105,NA,13262,10047,1431,993,24724,5761,NA,1063,NA,64555,16332,37904,NA,NA,26218,8304,NA,7858,2255,NA,NA,NA,7736,4792,8352,57147,NA,NA,NA,5056
"_HILn_QI28916",3143,19544,28966,13306,3315,14974,35791,13383,51704,16234,38717,NA,2837,471166,45784,31469,23813,78568,15323,16144,81325,14274,57243,6942,21325,7992,24418,14360,3469,20414,22832,32277,90316,12277,25704,14945,38776,12557,24708,18626,23931,106982
"_C8p_QI29631",264,NA,NA,8985,385,NA,NA,NA,4797,1435,NA,1445,NA,NA,NA,NA,NA,1656,NA,NA,3095,645885,NA,318,NA,NA,NA,NA,1165,NA,NA,NA,NA,NA,1202,NA,75,NA,NA,NA,NA,NA
"_C8p_QI28155",4127441,1768485,6401711,5890664,11761864,52829,818101,170749,44726,1424126,2113443,44252,472911,12889,80482,390402,70763,103772,98398,11771,56590,249496,18219,59744,54002,635183,120590,661375,348709,129595,71206,2212675,1413067,1043697,1721938,63737,1733594,11793,634051,73821,23824,57224
"_C8p_QI7666",6883,405,2723,6369,7909,13782,2112,2100,5302,NA,4673,10912,10779,NA,831,5595,NA,757,23095,2346,1550,2791,NA,4520,23426,8807,11166,4991,2864,3980,28247,21197,23051,32535,262,9191,1399,5210,15369,9848,5898,38599
"_HILn_QI17464",NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,5864,NA,NA,NA,NA,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,170,NA,81,NA,NA,NA,NA
"_HILn_QI21358",NA,556,NA,NA,1555,NA,42,1459,711,458,NA,3658,511,1201,1112,248,3229,169,349,237,NA,587,442,19,1169,130,662,410,342,228,82,5,NA,14,12,109,524,2556,715,123,2724,NA
"_C18n_QI9487",15744,5043,12885,245434,350675,54740,18436,19241,50333,154321,39810,NA,16849,131111,112778,15110,51272,37406,28959,50384,13985,128971,100860,119277,NA,73968,78882,54903,8044,12288,60267,75049,28501,67243,216105,71141,134733,118160,136333,122281,11131,37550
"_HILp_QI24712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2537,NA,NA,NA,NA,1232,NA,NA,3238259,NA,NA,NA,NA,NA,NA,NA,3037290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILn_QI17218",NA,41268,11538,1338,235,NA,22272,13454,10866,NA,NA,NA,21015,28791,88536,36775,11659,902,952,NA,25815,37479,NA,33116,NA,638,55666,4204,NA,16134,NA,4353,NA,10878,3888,12016,NA,16972,NA,5500,5155,NA
"_C18n_QI3035",216,5289,1098,628,1221,380,1689,1890,1251,7833,779,5357,863,462,106,702,250,359,435,55,22433,3076,96,5032,6684,747,360,NA,NA,343,1928,227,38,15890,35,3602,3366,2401,860,3097,125,2317
"_C18n_QI11642",11554,11622,3748,18520,57899,424040,8005,260,7430,651,13646,22994,10346,18719,23611,11277,11171,19952,9825,87725,9968,4434,18385,5238,3584,11247,7298,16383,1641,5988,7484,18478,21506,7809,12157,639,4399,6452,NA,2361,11434,8841
"_C18n_QI5382",NA,481949,NA,NA,NA,NA,237768,29089,59426,65993,12238,28587,840,478962,11994,NA,302403,5780,12789,212,2340,7850,17916,127635,NA,29166,128937,7075,330046,6858,563,4813,4099,64914,8250,52473,325241,1309,1486,4572,18567,17013
"_C8p_QI27973",8496,2523,23541,430387,31853,3481,3553,348,211,6891,11136,358,3328,131,23,416,600,395,1062,95,5347,117,421,410,989,2312,720,NA,983,501,751,45423,1747,12212,2363,274,4447,704,9611,702,994,1208
"_HILp_QI16423",NA,NA,NA,NA,NA,122096,NA,NA,NA,NA,NA,NA,547892,NA,62165,NA,NA,NA,765971,NA,NA,NA,13700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI16442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31247,NA,NA,NA,NA,NA,NA,294,NA,351,11577,NA,NA,363,NA,NA,NA,NA,892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3235,NA
"_HILp_QI10904",NA,823926,594531,430375,NA,NA,930583,NA,70594,191665,3277,487730,1465390,469645,1087826,1655887,694559,1522513,1437624,391137,875235,1191504,599803,473832,3554245,2668066,2995874,2021848,147483,1731346,785281,1176674,NA,415225,2353607,145608,751507,309881,719756,5031433,528712,152136
"_C8p_QI3663",20179,NA,NA,NA,132796,634845,2274,NA,820,NA,17,6221,NA,NA,83,NA,NA,65,5726,NA,380,NA,NA,35307,1121,NA,NA,NA,1657113,NA,NA,NA,NA,NA,33,2530,NA,3546,2336,442962,149,14995
"_C8p_QI13828",NA,NA,NA,709,NA,NA,NA,68911,NA,209250,NA,1325,NA,86103,109,NA,160780,6014,NA,NA,667,42392,63017,1874,9880,NA,NA,NA,NA,NA,67654,NA,51423,NA,NA,NA,2694,6915,NA,NA,120,NA
"_C18n_QI10850",107842,365219,314374,309880,216912,36604,563294,952679,600285,698521,352639,586600,303772,528854,1220278,1307699,1473614,3172784,1035194,366664,916231,1322587,917372,1593142,370870,310194,1008950,1307393,73826,2680943,1016082,806857,368913,538104,873812,1366301,1143164,468997,108002,408806,2448074,243680
"_C8p_QI27862",NA,NA,9695,1987,NA,22960,13755,NA,8846,NA,NA,NA,1068,1748,136998,20711,5336,NA,6556,NA,5282,NA,1581,9965,9442,NA,NA,11685,NA,NA,NA,3078,NA,NA,NA,970,NA,NA,870,1465,4041,8752
"_HILn_QI23219",17954,28225,32501,3368,113017,19693,9445,19053,50898,44658,20686,NA,10358,10312,27538,43060,33151,54662,13627,87686,3520,28360,19445,19816,12,83364,17860,25959,11384,62719,17186,14581,546,13461,21602,34024,60248,52774,52041,42121,49276,12256
"_C8p_QI22594",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,353,NA,1134,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576,NA
"_C8p_QI19028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5394,NA
"_HILn_QI15625",NA,NA,NA,1482,20154,NA,NA,3494,23107,NA,NA,NA,NA,NA,4952,10600,2428,NA,NA,NA,NA,NA,NA,14018,NA,55818,NA,8684,NA,NA,NA,6290,NA,18779,NA,NA,NA,8300,12740,NA,NA,NA
"_HILp_QI3719",73441,480882,264610,271863,102363,394223,714653,395024,470260,359473,732317,168944,566978,226111,405486,263509,473682,878690,768315,68157,342588,311780,275895,384875,213351,284059,789640,340554,549581,653116,432550,566350,164766,834708,377121,665215,441885,775674,494870,463721,353831,1225283
"_HILp_QI12278",NA,1793,NA,1962195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13365,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA,161,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI8294",46953,139934,80454,247025,61574,497,170187,149503,101847,35892,396324,4724,537688,64707,304202,132058,399244,589139,53645,92726,81191,141754,27217,117485,180800,35879,180345,317796,76327,537720,76513,333475,104734,3092,125569,105653,230585,109856,35247,102831,974457,4548
"_C8p_QI26559",385337,985,NA,NA,NA,199,NA,12531,NA,NA,360932,9,NA,112,NA,NA,NA,NA,18,17,NA,NA,10,NA,NA,417,12702,NA,5,NA,15,5,195,NA,NA,13,NA,476,NA,69,1639,419
"_C18n_QI2159",62290,45737,183734,78552,55081,102393,19874,85044,42684,21477,462709,4391,18216,7616,51521,16855,16743,54796,11511,11609,1373,4476,7366,14541,NA,10986,9789,38709,43862,45165,80073,110585,822,7695,39811,22520,1009676,4017817,16797,57967,18550,69172
